language,age,words,n,measure,prop
Italian,7,salotto,5,produces,0
Italian,7,salotto,5,understands,0
Italian,8,salotto,34,produces,0
Italian,8,salotto,34,understands,0
Italian,9,salotto,38,produces,0
Italian,9,salotto,38,understands,0
Italian,10,salotto,53,produces,0
Italian,10,salotto,53,understands,0
Italian,11,salotto,42,produces,0
Italian,11,salotto,42,understands,0.0476
Italian,12,salotto,69,produces,0
Italian,12,salotto,69,understands,0.0435
Italian,13,salotto,48,produces,0
Italian,13,salotto,48,understands,0.0625
Italian,14,salotto,40,produces,0
Italian,14,salotto,40,understands,0.025
Italian,15,salotto,68,produces,0
Italian,15,salotto,68,understands,0.1324
Italian,16,salotto,56,produces,0
Italian,16,salotto,56,understands,0.1607
Italian,17,salotto,48,produces,0.0625
Italian,17,salotto,48,understands,0.1875
Italian,18,salotto,75,produces,0.0133
Italian,18,salotto,75,understands,0.1733
Italian,19,salotto,58,produces,0
Italian,19,salotto,58,understands,0.0862
Italian,20,salotto,83,produces,0
Italian,20,salotto,83,understands,0.0482
Italian,21,salotto,67,produces,0.1045
Italian,21,salotto,67,understands,0.1194
Italian,22,salotto,77,produces,0.1169
Italian,22,salotto,77,understands,0.0779
Italian,23,salotto,70,produces,0.1
Italian,23,salotto,70,understands,0.0857
Italian,24,salotto,85,produces,0.2118
Italian,24,salotto,85,understands,0.1059
Italian,25,salotto,39,produces,0.2564
Italian,25,salotto,39,understands,0
Italian,26,salotto,41,produces,0.3415
Italian,26,salotto,41,understands,0
Italian,27,salotto,43,produces,0.3256
Italian,27,salotto,43,understands,0
Italian,28,salotto,44,produces,0.3864
Italian,28,salotto,44,understands,0
Italian,29,salotto,37,produces,0.3784
Italian,29,salotto,37,understands,0
Italian,30,salotto,67,produces,0.403
Italian,30,salotto,67,understands,0
Italian,31,salotto,19,produces,0.4737
Italian,31,salotto,19,understands,0
Italian,32,salotto,23,produces,0.4348
Italian,32,salotto,23,understands,0
Italian,33,salotto,16,produces,0.625
Italian,33,salotto,16,understands,0
Italian,34,salotto,19,produces,0.5789
Italian,34,salotto,19,understands,0
Italian,35,salotto,15,produces,0.4667
Italian,35,salotto,15,understands,0
Italian,36,salotto,21,produces,0.4762
Italian,36,salotto,21,understands,0
Mandarin (Beijing),17,客厅,40,produces,0.05
Mandarin (Beijing),17,客厅,40,understands,0
Mandarin (Beijing),18,客厅,50,produces,0.02
Mandarin (Beijing),18,客厅,50,understands,0
Mandarin (Beijing),19,客厅,50,produces,0.04
Mandarin (Beijing),19,客厅,50,understands,0
Mandarin (Beijing),20,客厅,50,produces,0.04
Mandarin (Beijing),20,客厅,50,understands,0
Mandarin (Beijing),21,客厅,49,produces,0.1224
Mandarin (Beijing),21,客厅,49,understands,0
Mandarin (Beijing),22,客厅,46,produces,0.1522
Mandarin (Beijing),22,客厅,46,understands,0
Mandarin (Beijing),23,客厅,50,produces,0.26
Mandarin (Beijing),23,客厅,50,understands,0
Mandarin (Beijing),24,客厅,50,produces,0.22
Mandarin (Beijing),24,客厅,50,understands,0
Mandarin (Beijing),25,客厅,43,produces,0.3256
Mandarin (Beijing),25,客厅,43,understands,0
Mandarin (Beijing),26,客厅,47,produces,0.4043
Mandarin (Beijing),26,客厅,47,understands,0
Mandarin (Beijing),27,客厅,44,produces,0.4091
Mandarin (Beijing),27,客厅,44,understands,0
Mandarin (Beijing),28,客厅,44,produces,0.4318
Mandarin (Beijing),28,客厅,44,understands,0
Mandarin (Beijing),29,客厅,49,produces,0.6122
Mandarin (Beijing),29,客厅,49,understands,0
Mandarin (Beijing),30,客厅,40,produces,0.575
Mandarin (Beijing),30,客厅,40,understands,0
Mandarin (Taiwanese),8,客廳,86,produces,0
Mandarin (Taiwanese),8,客廳,86,understands,0.186
Mandarin (Taiwanese),9,客廳,79,produces,0
Mandarin (Taiwanese),9,客廳,79,understands,0.3291
Mandarin (Taiwanese),10,客廳,78,produces,0
Mandarin (Taiwanese),10,客廳,78,understands,0.1538
Mandarin (Taiwanese),11,客廳,79,produces,0
Mandarin (Taiwanese),11,客廳,79,understands,0.1266
Mandarin (Taiwanese),12,客廳,80,produces,0
Mandarin (Taiwanese),12,客廳,80,understands,0.1
Mandarin (Taiwanese),13,客廳,78,produces,0
Mandarin (Taiwanese),13,客廳,78,understands,0.1667
Mandarin (Taiwanese),14,客廳,81,produces,0.0247
Mandarin (Taiwanese),14,客廳,81,understands,0.1728
Mandarin (Taiwanese),15,客廳,106,produces,0.0189
Mandarin (Taiwanese),15,客廳,106,understands,0.2642
Mandarin (Taiwanese),16,客廳,170,produces,0.0235
Mandarin (Taiwanese),16,客廳,170,understands,0.1176
Mandarin (Taiwanese),17,客廳,87,produces,0
Mandarin (Taiwanese),17,客廳,87,understands,0
Mandarin (Taiwanese),18,客廳,84,produces,0.0595
Mandarin (Taiwanese),18,客廳,84,understands,0
Mandarin (Taiwanese),19,客廳,84,produces,0.0952
Mandarin (Taiwanese),19,客廳,84,understands,0
Mandarin (Taiwanese),20,客廳,84,produces,0.0714
Mandarin (Taiwanese),20,客廳,84,understands,0
Mandarin (Taiwanese),21,客廳,88,produces,0.1136
Mandarin (Taiwanese),21,客廳,88,understands,0
Mandarin (Taiwanese),22,客廳,96,produces,0.2083
Mandarin (Taiwanese),22,客廳,96,understands,0
Mandarin (Taiwanese),23,客廳,105,produces,0.2286
Mandarin (Taiwanese),23,客廳,105,understands,0
Mandarin (Taiwanese),24,客廳,124,produces,0.3145
Mandarin (Taiwanese),24,客廳,124,understands,0
Mandarin (Taiwanese),25,客廳,110,produces,0.3727
Mandarin (Taiwanese),25,客廳,110,understands,0
Mandarin (Taiwanese),26,客廳,87,produces,0.4023
Mandarin (Taiwanese),26,客廳,87,understands,0
Mandarin (Taiwanese),27,客廳,92,produces,0.3587
Mandarin (Taiwanese),27,客廳,92,understands,0
Mandarin (Taiwanese),28,客廳,100,produces,0.57
Mandarin (Taiwanese),28,客廳,100,understands,0
Mandarin (Taiwanese),29,客廳,88,produces,0.5568
Mandarin (Taiwanese),29,客廳,88,understands,0
Mandarin (Taiwanese),30,客廳,94,produces,0.5851
Mandarin (Taiwanese),30,客廳,94,understands,0
Mandarin (Taiwanese),31,客廳,88,produces,0.6364
Mandarin (Taiwanese),31,客廳,88,understands,0
Mandarin (Taiwanese),32,客廳,82,produces,0.6463
Mandarin (Taiwanese),32,客廳,82,understands,0
Mandarin (Taiwanese),33,客廳,85,produces,0.7882
Mandarin (Taiwanese),33,客廳,85,understands,0
Mandarin (Taiwanese),34,客廳,77,produces,0.7922
Mandarin (Taiwanese),34,客廳,77,understands,0
Mandarin (Taiwanese),35,客廳,81,produces,0.7901
Mandarin (Taiwanese),35,客廳,81,understands,0
Mandarin (Taiwanese),36,客廳,81,produces,0.8519
Mandarin (Taiwanese),36,客廳,81,understands,0
Norwegian,8,stue,77,produces,0.026
Norwegian,8,stue,77,understands,0.026
Norwegian,9,stue,138,produces,0
Norwegian,9,stue,138,understands,0.0145
Norwegian,10,stue,203,produces,0
Norwegian,10,stue,203,understands,0.0394
Norwegian,11,stue,241,produces,0.0041
Norwegian,11,stue,241,understands,0.0415
Norwegian,12,stue,221,produces,0
Norwegian,12,stue,221,understands,0.0995
