language,age,words,n,measure,prop
Italian,18,radio,31,produces,0.0645
Italian,18,radio,31,understands,0
Italian,19,radio,39,produces,0.0769
Italian,19,radio,39,understands,0
Italian,20,radio,64,produces,0.125
Italian,20,radio,64,understands,0
Italian,21,radio,55,produces,0.2364
Italian,21,radio,55,understands,0
Italian,22,radio,55,produces,0.4182
Italian,22,radio,55,understands,0
Italian,23,radio,53,produces,0.3396
Italian,23,radio,53,understands,0
Italian,24,radio,71,produces,0.4085
Italian,24,radio,71,understands,0
Italian,25,radio,39,produces,0.4872
Italian,25,radio,39,understands,0
Italian,26,radio,41,produces,0.6098
Italian,26,radio,41,understands,0
Italian,27,radio,43,produces,0.5349
Italian,27,radio,43,understands,0
Italian,28,radio,44,produces,0.7727
Italian,28,radio,44,understands,0
Italian,29,radio,37,produces,0.7838
Italian,29,radio,37,understands,0
Italian,30,radio,67,produces,0.6866
Italian,30,radio,67,understands,0
Italian,31,radio,19,produces,0.8421
Italian,31,radio,19,understands,0
Italian,32,radio,23,produces,0.6522
Italian,32,radio,23,understands,0
Italian,33,radio,16,produces,0.875
Italian,33,radio,16,understands,0
Italian,34,radio,19,produces,0.8947
Italian,34,radio,19,understands,0
Italian,35,radio,15,produces,0.8667
Italian,35,radio,15,understands,0
Italian,36,radio,21,produces,0.8571
Italian,36,radio,21,understands,0
Kigiriama,8,Redio,5,produces,0.2
Kigiriama,8,Redio,5,understands,0.4
Kigiriama,9,Redio,22,produces,0
Kigiriama,9,Redio,22,understands,0.0909
Kigiriama,10,Redio,5,produces,0
Kigiriama,10,Redio,5,understands,0.6
Kigiriama,11,Redio,7,produces,0.1429
Kigiriama,11,Redio,7,understands,0.2857
Kigiriama,12,Redio,30,produces,0
Kigiriama,12,Redio,30,understands,0.2333
Kigiriama,13,Redio,18,produces,0
Kigiriama,13,Redio,18,understands,0.2778
Kigiriama,14,Redio,16,produces,0
Kigiriama,14,Redio,16,understands,0.375
Kigiriama,15,Redio,16,produces,0.0625
Kigiriama,15,Redio,16,understands,0.3125
Kigiriama,16,Redio,1,produces,0
Kigiriama,16,Redio,1,understands,0
Kigiriama,17,Redio,6,produces,0.1667
Kigiriama,17,Redio,6,understands,0
Kigiriama,18,Redio,13,produces,0.1538
Kigiriama,18,Redio,13,understands,0
Kigiriama,19,Redio,8,produces,0.25
Kigiriama,19,Redio,8,understands,0
Kigiriama,20,Redio,14,produces,0.3571
Kigiriama,20,Redio,14,understands,0
Kigiriama,21,Redio,6,produces,0.1667
Kigiriama,21,Redio,6,understands,0
Kigiriama,22,Redio,9,produces,0.4444
Kigiriama,22,Redio,9,understands,0
Kigiriama,23,Redio,4,produces,0.25
Kigiriama,23,Redio,4,understands,0
Kigiriama,24,Redio,7,produces,0.5714
Kigiriama,24,Redio,7,understands,0
Kigiriama,25,Redio,3,produces,0.6667
Kigiriama,25,Redio,3,understands,0
Kigiriama,26,Redio,6,produces,0.3333
Kigiriama,26,Redio,6,understands,0
Kigiriama,27,Redio,4,produces,0.75
Kigiriama,27,Redio,4,understands,0
Kigiriama,28,Redio,1,produces,0
Kigiriama,28,Redio,1,understands,0
Kigiriama,29,Redio,5,produces,1
Kigiriama,29,Redio,5,understands,0
Kigiriama,30,Redio,1,produces,1
Kigiriama,30,Redio,1,understands,0
Kiswahili,8,Redio,1,produces,0
Kiswahili,8,Redio,1,understands,0
Kiswahili,9,Redio,5,produces,0
Kiswahili,9,Redio,5,understands,0
Kiswahili,10,Redio,5,produces,0
Kiswahili,10,Redio,5,understands,0
Kiswahili,11,Redio,9,produces,0
Kiswahili,11,Redio,9,understands,0.2222
Kiswahili,12,Redio,6,produces,0
Kiswahili,12,Redio,6,understands,0
Kiswahili,13,Redio,6,produces,0
Kiswahili,13,Redio,6,understands,0.3333
Kiswahili,14,Redio,4,produces,0.25
Kiswahili,14,Redio,4,understands,0.5
Kiswahili,15,Redio,5,produces,0.2
Kiswahili,15,Redio,5,understands,0.6
Kiswahili,23,Redio,2,produces,0
Kiswahili,23,Redio,2,understands,0
Kiswahili,24,Redio,12,produces,0.75
Kiswahili,24,Redio,12,understands,0
Kiswahili,25,Redio,10,produces,0.4
Kiswahili,25,Redio,10,understands,0
Kiswahili,26,Redio,13,produces,0.6923
Kiswahili,26,Redio,13,understands,0
Kiswahili,27,Redio,8,produces,0.625
Kiswahili,27,Redio,8,understands,0
Kiswahili,28,Redio,6,produces,0.5
Kiswahili,28,Redio,6,understands,0
Kiswahili,29,Redio,6,produces,0.6667
Kiswahili,29,Redio,6,understands,0
Kiswahili,30,Redio,5,produces,0.8
Kiswahili,30,Redio,5,understands,0
Korean,18,라디오,88,produces,0.0682
Korean,18,라디오,88,understands,0
Korean,19,라디오,77,produces,0.026
Korean,19,라디오,77,understands,0
Korean,20,라디오,88,produces,0
Korean,20,라디오,88,understands,0
Korean,21,라디오,79,produces,0.0886
Korean,21,라디오,79,understands,0
Korean,22,라디오,87,produces,0.1264
Korean,22,라디오,87,understands,0
Korean,23,라디오,87,produces,0.092
Korean,23,라디오,87,understands,0
Korean,24,라디오,107,produces,0.1495
Korean,24,라디오,107,understands,0
Korean,25,라디오,95,produces,0.2316
Korean,25,라디오,95,understands,0
Korean,26,라디오,91,produces,0.2198
Korean,26,라디오,91,understands,0
Korean,27,라디오,104,produces,0.2885
Korean,27,라디오,104,understands,0
Korean,28,라디오,89,produces,0.382
Korean,28,라디오,89,understands,0
Korean,29,라디오,101,produces,0.4356
Korean,29,라디오,101,understands,0
Korean,30,라디오,81,produces,0.4321
Korean,30,라디오,81,understands,0
Korean,31,라디오,79,produces,0.5823
Korean,31,라디오,79,understands,0
Korean,32,라디오,70,produces,0.5143
Korean,32,라디오,70,understands,0
Korean,33,라디오,79,produces,0.557
Korean,33,라디오,79,understands,0
Korean,34,라디오,79,produces,0.6456
Korean,34,라디오,79,understands,0
Korean,35,라디오,74,produces,0.5811
Korean,35,라디오,74,understands,0
Korean,36,라디오,75,produces,0.6533
Korean,36,라디오,75,understands,0
Latvian,8,radio,16,produces,0
Latvian,8,radio,16,understands,0
Latvian,9,radio,18,produces,0
Latvian,9,radio,18,understands,0.0556
Latvian,10,radio,26,produces,0
Latvian,10,radio,26,understands,0.0769
Latvian,11,radio,15,produces,0
Latvian,11,radio,15,understands,0.2667
Latvian,12,radio,16,produces,0.0625
Latvian,12,radio,16,understands,0.1875
Latvian,13,radio,22,produces,0
Latvian,13,radio,22,understands,0.3182
Latvian,14,radio,25,produces,0.04
Latvian,14,radio,25,understands,0.16
Latvian,15,radio,29,produces,0.069
Latvian,15,radio,29,understands,0.2759
Latvian,16,radio,16,produces,0
Latvian,16,radio,16,understands,0.5
Latvian,17,radio,27,produces,0.0741
Latvian,17,radio,27,understands,0
Latvian,18,radio,21,produces,0
Latvian,18,radio,21,understands,0
Latvian,19,radio,28,produces,0.0714
Latvian,19,radio,28,understands,0
Latvian,20,radio,34,produces,0.1471
Latvian,20,radio,34,understands,0
Latvian,21,radio,26,produces,0.2308
Latvian,21,radio,26,understands,0
Latvian,22,radio,32,produces,0.0938
Latvian,22,radio,32,understands,0
Latvian,23,radio,25,produces,0.24
Latvian,23,radio,25,understands,0
Latvian,24,radio,30,produces,0.3
Latvian,24,radio,30,understands,0
Latvian,25,radio,29,produces,0.3103
Latvian,25,radio,29,understands,0
Latvian,26,radio,22,produces,0.3182
Latvian,26,radio,22,understands,0
Latvian,27,radio,18,produces,0.3889
Latvian,27,radio,18,understands,0
Latvian,28,radio,23,produces,0.4348
Latvian,28,radio,23,understands,0
Latvian,29,radio,24,produces,0.375
Latvian,29,radio,24,understands,0
Latvian,30,radio,26,produces,0.4231
Latvian,30,radio,26,understands,0
Latvian,31,radio,19,produces,0.5263
Latvian,31,radio,19,understands,0
Latvian,32,radio,25,produces,0.44
Latvian,32,radio,25,understands,0
Latvian,33,radio,31,produces,0.5161
Latvian,33,radio,31,understands,0
Latvian,34,radio,17,produces,0.7059
Latvian,34,radio,17,understands,0
Latvian,35,radio,21,produces,0.7619
Latvian,35,radio,21,understands,0
Latvian,36,radio,22,produces,0.5455
Latvian,36,radio,22,understands,0
Mandarin (Beijing),16,收音机,70,produces,0
Mandarin (Beijing),16,收音机,70,understands,0
Mandarin (Beijing),17,收音机,72,produces,0.0694
Mandarin (Beijing),17,收音机,72,understands,0
Mandarin (Beijing),18,收音机,71,produces,0.0563
Mandarin (Beijing),18,收音机,71,understands,0
Mandarin (Beijing),19,收音机,70,produces,0.1143
Mandarin (Beijing),19,收音机,70,understands,0
Mandarin (Beijing),20,收音机,71,produces,0.1831
Mandarin (Beijing),20,收音机,71,understands,0
Mandarin (Beijing),21,收音机,70,produces,0.2429
Mandarin (Beijing),21,收音机,70,understands,0
Mandarin (Beijing),22,收音机,71,produces,0.3803
Mandarin (Beijing),22,收音机,71,understands,0
Mandarin (Beijing),23,收音机,70,produces,0.6
Mandarin (Beijing),23,收音机,70,understands,0
Mandarin (Beijing),24,收音机,70,produces,0.5
Mandarin (Beijing),24,收音机,70,understands,0
Mandarin (Beijing),25,收音机,70,produces,0.5857
Mandarin (Beijing),25,收音机,70,understands,0
Mandarin (Beijing),26,收音机,71,produces,0.6056
Mandarin (Beijing),26,收音机,71,understands,0
Mandarin (Beijing),27,收音机,70,produces,0.6429
Mandarin (Beijing),27,收音机,70,understands,0
Mandarin (Beijing),28,收音机,70,produces,0.6571
Mandarin (Beijing),28,收音机,70,understands,0
Mandarin (Beijing),29,收音机,70,produces,0.7429
Mandarin (Beijing),29,收音机,70,understands,0
Mandarin (Beijing),30,收音机,70,produces,0.7286
Mandarin (Beijing),30,收音机,70,understands,0
Mandarin (Taiwanese),8,收音機/音響,86,produces,0
Mandarin (Taiwanese),8,收音機/音響,86,understands,0.186
Mandarin (Taiwanese),9,收音機/音響,79,produces,0
Mandarin (Taiwanese),9,收音機/音響,79,understands,0.2152
Mandarin (Taiwanese),10,收音機/音響,78,produces,0
Mandarin (Taiwanese),10,收音機/音響,78,understands,0.1026
Mandarin (Taiwanese),11,收音機/音響,79,produces,0
Mandarin (Taiwanese),11,收音機/音響,79,understands,0.1139
Mandarin (Taiwanese),12,收音機/音響,80,produces,0
Mandarin (Taiwanese),12,收音機/音響,80,understands,0.075
Mandarin (Taiwanese),13,收音機/音響,78,produces,0
Mandarin (Taiwanese),13,收音機/音響,78,understands,0.1667
Mandarin (Taiwanese),14,收音機/音響,81,produces,0
Mandarin (Taiwanese),14,收音機/音響,81,understands,0.1111
Mandarin (Taiwanese),15,收音機/音響,106,produces,0.0283
Mandarin (Taiwanese),15,收音機/音響,106,understands,0.2264
Mandarin (Taiwanese),16,收音機/音響,170,produces,0.0235
Mandarin (Taiwanese),16,收音機/音響,170,understands,0.1235
Mandarin (Taiwanese),17,收音機/音響,87,produces,0
Mandarin (Taiwanese),17,收音機/音響,87,understands,0
Mandarin (Taiwanese),18,收音機/音響,84,produces,0
Mandarin (Taiwanese),18,收音機/音響,84,understands,0
Mandarin (Taiwanese),19,收音機/音響,84,produces,0.0595
Mandarin (Taiwanese),19,收音機/音響,84,understands,0
Mandarin (Taiwanese),20,收音機/音響,84,produces,0.0238
Mandarin (Taiwanese),20,收音機/音響,84,understands,0
Mandarin (Taiwanese),21,收音機/音響,88,produces,0.0341
Mandarin (Taiwanese),21,收音機/音響,88,understands,0
Mandarin (Taiwanese),22,收音機/音響,96,produces,0.125
Mandarin (Taiwanese),22,收音機/音響,96,understands,0
Mandarin (Taiwanese),23,收音機/音響,105,produces,0.1714
Mandarin (Taiwanese),23,收音機/音響,105,understands,0
Mandarin (Taiwanese),24,收音機/音響,124,produces,0.1855
Mandarin (Taiwanese),24,收音機/音響,124,understands,0
Mandarin (Taiwanese),25,收音機/音響,110,produces,0.2182
Mandarin (Taiwanese),25,收音機/音響,110,understands,0
Mandarin (Taiwanese),26,收音機/音響,87,produces,0.2414
Mandarin (Taiwanese),26,收音機/音響,87,understands,0
Mandarin (Taiwanese),27,收音機/音響,92,produces,0.3152
Mandarin (Taiwanese),27,收音機/音響,92,understands,0
Mandarin (Taiwanese),28,收音機/音響,100,produces,0.34
Mandarin (Taiwanese),28,收音機/音響,100,understands,0
Mandarin (Taiwanese),29,收音機/音響,88,produces,0.3409
Mandarin (Taiwanese),29,收音機/音響,88,understands,0
Mandarin (Taiwanese),30,收音機/音響,94,produces,0.3936
Mandarin (Taiwanese),30,收音機/音響,94,understands,0
Mandarin (Taiwanese),31,收音機/音響,88,produces,0.5568
Mandarin (Taiwanese),31,收音機/音響,88,understands,0
Mandarin (Taiwanese),32,收音機/音響,82,produces,0.561
Mandarin (Taiwanese),32,收音機/音響,82,understands,0
Mandarin (Taiwanese),33,收音機/音響,85,produces,0.6471
Mandarin (Taiwanese),33,收音機/音響,85,understands,0
Mandarin (Taiwanese),34,收音機/音響,77,produces,0.6104
Mandarin (Taiwanese),34,收音機/音響,77,understands,0
Mandarin (Taiwanese),35,收音機/音響,81,produces,0.6173
Mandarin (Taiwanese),35,收音機/音響,81,understands,0
Mandarin (Taiwanese),36,收音機/音響,81,produces,0.6049
Mandarin (Taiwanese),36,收音機/音響,81,understands,0
Norwegian,8,radio,77,produces,0.026
Norwegian,8,radio,77,understands,0.026
Norwegian,9,radio,138,produces,0
Norwegian,9,radio,138,understands,0.0072
Norwegian,10,radio,203,produces,0
Norwegian,10,radio,203,understands,0.0099
Norwegian,11,radio,241,produces,0.0041
Norwegian,11,radio,241,understands,0.0207
Norwegian,12,radio,221,produces,0
Norwegian,12,radio,221,understands,0.0226
Norwegian,13,radio,246,produces,0
Norwegian,13,radio,246,understands,0.0935
Norwegian,14,radio,269,produces,0
Norwegian,14,radio,269,understands,0.0781
Norwegian,15,radio,239,produces,0.0126
Norwegian,15,radio,239,understands,0.113
Norwegian,16,radio,346,produces,0.0116
Norwegian,16,radio,346,understands,0.0954
Norwegian,17,radio,435,produces,0.0138
Norwegian,17,radio,435,understands,0.1057
Norwegian,18,radio,494,produces,0.0182
Norwegian,18,radio,494,understands,0.1113
Norwegian,19,radio,504,produces,0.0437
Norwegian,19,radio,504,understands,0.1448
Norwegian,20,radio,601,produces,0.0516
Norwegian,20,radio,601,understands,0.1631
Norwegian,21,radio,418,produces,0.0885
Norwegian,21,radio,418,understands,0
Norwegian,22,radio,596,produces,0.1107
Norwegian,22,radio,596,understands,0
Norwegian,23,radio,566,produces,0.1714
Norwegian,23,radio,566,understands,0
Norwegian,24,radio,538,produces,0.2138
Norwegian,24,radio,538,understands,0
Norwegian,25,radio,656,produces,0.3079
Norwegian,25,radio,656,understands,0
Norwegian,26,radio,644,produces,0.3898
Norwegian,26,radio,644,understands,0
Norwegian,27,radio,525,produces,0.4343
Norwegian,27,radio,525,understands,0
Norwegian,28,radio,544,produces,0.4596
Norwegian,28,radio,544,understands,0
Norwegian,29,radio,536,produces,0.5541
Norwegian,29,radio,536,understands,0
Norwegian,30,radio,457,produces,0.6105
Norwegian,30,radio,457,understands,0
Norwegian,31,radio,479,produces,0.6305
Norwegian,31,radio,479,understands,0
Norwegian,32,radio,451,produces,0.6896
Norwegian,32,radio,451,understands,0
Norwegian,33,radio,430,produces,0.7209
Norwegian,33,radio,430,understands,0
Norwegian,34,radio,424,produces,0.7547
Norwegian,34,radio,424,understands,0
Norwegian,35,radio,422,produces,0.7844
Norwegian,35,radio,422,understands,0
Norwegian,36,radio,329,produces,0.7842
Norwegian,36,radio,329,understands,0
Persian,17,رادیو,1,produces,0
Persian,17,رادیو,1,understands,0
Persian,18,رادیو,5,produces,0
Persian,18,رادیو,5,understands,0
Persian,20,رادیو,3,produces,0
Persian,20,رادیو,3,understands,0
Persian,21,رادیو,1,produces,0
Persian,21,رادیو,1,understands,0
Persian,22,رادیو,1,produces,0
Persian,22,رادیو,1,understands,0
Persian,23,رادیو,3,produces,0.3333
Persian,23,رادیو,3,understands,0
Persian,24,رادیو,10,produces,0.3
Persian,24,رادیو,10,understands,0
Persian,25,رادیو,3,produces,0.3333
Persian,25,رادیو,3,understands,0
Persian,26,رادیو,6,produces,0.1667
Persian,26,رادیو,6,understands,0
Persian,27,رادیو,5,produces,0.4
Persian,27,رادیو,5,understands,0
Persian,28,رادیو,9,produces,0.3333
Persian,28,رادیو,9,understands,0
Persian,29,رادیو,1,produces,0
Persian,29,رادیو,1,understands,0
Persian,30,رادیو,2,produces,0.5
Persian,30,رادیو,2,understands,0
Russian,8,радио,59,produces,0
Russian,8,радио,59,understands,0
Russian,9,радио,42,produces,0
Russian,9,радио,42,understands,0.0238
Russian,10,радио,63,produces,0
Russian,10,радио,63,understands,0.0159
Russian,11,радио,71,produces,0
Russian,11,радио,71,understands,0.0423
Russian,12,радио,76,produces,0
Russian,12,радио,76,understands,0.0658
Russian,13,радио,73,produces,0
Russian,13,радио,73,understands,0.1096
Russian,14,радио,79,produces,0
Russian,14,радио,79,understands,0.1139
Russian,15,радио,81,produces,0
Russian,15,радио,81,understands,0.1852
Russian,16,радио,81,produces,0.0123
Russian,16,радио,81,understands,0.1975
Russian,17,радио,80,produces,0.025
Russian,17,радио,80,understands,0.2375
Russian,18,радио,105,produces,0
Russian,18,радио,105,understands,0.1429
Russian,19,радио,41,produces,0
Russian,19,радио,41,understands,0
Russian,20,радио,45,produces,0.0667
Russian,20,радио,45,understands,0
Russian,21,радио,43,produces,0.0465
Russian,21,радио,43,understands,0
Russian,22,радио,51,produces,0.0392
Russian,22,радио,51,understands,0
Russian,23,радио,56,produces,0.125
Russian,23,радио,56,understands,0
Russian,24,радио,61,produces,0.1803
Russian,24,радио,61,understands,0
Russian,25,радио,66,produces,0.1818
Russian,25,радио,66,understands,0
Russian,26,радио,52,produces,0.1923
Russian,26,радио,52,understands,0
Russian,27,радио,60,produces,0.3167
Russian,27,радио,60,understands,0
Russian,28,радио,60,produces,0.35
Russian,28,радио,60,understands,0
Russian,29,радио,58,produces,0.3621
Russian,29,радио,58,understands,0
Russian,30,радио,77,produces,0.3117
Russian,30,радио,77,understands,0
Russian,31,радио,61,produces,0.3934
Russian,31,радио,61,understands,0
Russian,32,радио,55,produces,0.4545
Russian,32,радио,55,understands,0
Russian,33,радио,55,produces,0.5091
Russian,33,радио,55,understands,0
Russian,34,радио,58,produces,0.5517
Russian,34,радио,58,understands,0
Russian,35,радио,47,produces,0.5745
Russian,35,радио,47,understands,0
Russian,36,радио,49,produces,0.5918
Russian,36,радио,49,understands,0
Slovak,8,rádio,73,produces,0.0137
Slovak,8,rádio,73,understands,0.0959
Slovak,9,rádio,59,produces,0
Slovak,9,rádio,59,understands,0.1695
Slovak,10,rádio,73,produces,0
Slovak,10,rádio,73,understands,0.2329
Slovak,11,rádio,62,produces,0
Slovak,11,rádio,62,understands,0.3871
Slovak,12,rádio,79,produces,0.0506
Slovak,12,rádio,79,understands,0.49370000000000003
Slovak,13,rádio,74,produces,0.0405
Slovak,13,rádio,74,understands,0.5541
Slovak,14,rádio,78,produces,0.0256
Slovak,14,rádio,78,understands,0.5769
Slovak,15,rádio,87,produces,0.0805
Slovak,15,rádio,87,understands,0.6782
Slovak,16,rádio,68,produces,0.1324
Slovak,16,rádio,68,understands,0.7794
Slovak,17,rádio,70,produces,0.1429
Slovak,17,rádio,70,understands,0
Slovak,18,rádio,65,produces,0.1385
Slovak,18,rádio,65,understands,0
Slovak,19,rádio,56,produces,0.1429
Slovak,19,rádio,56,understands,0
Slovak,20,rádio,62,produces,0.3226
Slovak,20,rádio,62,understands,0
Slovak,21,rádio,81,produces,0.2963
Slovak,21,rádio,81,understands,0
Slovak,22,rádio,53,produces,0.3396
Slovak,22,rádio,53,understands,0
Slovak,23,rádio,59,produces,0.4407
Slovak,23,rádio,59,understands,0
Slovak,24,rádio,59,produces,0.6441
Slovak,24,rádio,59,understands,0
Slovak,25,rádio,69,produces,0.5072
Slovak,25,rádio,69,understands,0
Slovak,26,rádio,78,produces,0.7051
Slovak,26,rádio,78,understands,0
Slovak,27,rádio,62,produces,0.6935
Slovak,27,rádio,62,understands,0
Slovak,28,rádio,86,produces,0.6977
Slovak,28,rádio,86,understands,0
Slovak,29,rádio,75,produces,0.7867
Slovak,29,rádio,75,understands,0
Slovak,30,rádio,49,produces,0.7755
Slovak,30,rádio,49,understands,0
Slovak,31,rádio,29,produces,0.7586
Slovak,31,rádio,29,understands,0
Slovak,32,rádio,25,produces,0.92
Slovak,32,rádio,25,understands,0
Slovak,33,rádio,22,produces,0.9091
Slovak,33,rádio,22,understands,0
Slovak,34,rádio,27,produces,0.8519
Slovak,34,rádio,27,understands,0
Slovak,35,rádio,27,produces,0.8519
Slovak,35,rádio,27,understands,0
Slovak,36,rádio,8,produces,0.875
Slovak,36,rádio,8,understands,0
Spanish (Chilean),8,radio,9,produces,0
Spanish (Chilean),8,radio,9,understands,0
Spanish (Chilean),9,radio,4,produces,0
Spanish (Chilean),9,radio,4,understands,0
Spanish (Chilean),10,radio,9,produces,0
Spanish (Chilean),10,radio,9,understands,0.1111
Spanish (Chilean),11,radio,8,produces,0
Spanish (Chilean),11,radio,8,understands,0.125
Spanish (Chilean),12,radio,5,produces,0
Spanish (Chilean),12,radio,5,understands,0
Spanish (Chilean),13,radio,4,produces,0
Spanish (Chilean),13,radio,4,understands,0.25
Spanish (Chilean),14,radio,6,produces,0
Spanish (Chilean),14,radio,6,understands,0.3333
Spanish (Chilean),15,radio,5,produces,0
Spanish (Chilean),15,radio,5,understands,0
Spanish (European),8,radio,52,produces,0
Spanish (European),8,radio,52,understands,0.0192
Spanish (European),9,radio,45,produces,0
Spanish (European),9,radio,45,understands,0.0222
Spanish (European),10,radio,49,produces,0
Spanish (European),10,radio,49,understands,0.0204
Spanish (European),11,radio,36,produces,0
Spanish (European),11,radio,36,understands,0.1389
Spanish (European),12,radio,52,produces,0
Spanish (European),12,radio,52,understands,0.0962
Spanish (European),13,radio,58,produces,0
Spanish (European),13,radio,58,understands,0.2069
Spanish (European),14,radio,55,produces,0.0182
Spanish (European),14,radio,55,understands,0.3273
Spanish (European),15,radio,65,produces,0
Spanish (European),15,radio,65,understands,0.3231
Spanish (European),16,radio,39,produces,0.0256
Spanish (European),16,radio,39,understands,0
Spanish (European),17,radio,39,produces,0
Spanish (European),17,radio,39,understands,0
Spanish (European),18,radio,50,produces,0
Spanish (European),18,radio,50,understands,0
Spanish (European),19,radio,27,produces,0.037
Spanish (European),19,radio,27,understands,0
Spanish (European),20,radio,36,produces,0.0278
Spanish (European),20,radio,36,understands,0
Spanish (European),21,radio,41,produces,0.0732
Spanish (European),21,radio,41,understands,0
Spanish (European),22,radio,38,produces,0.1579
Spanish (European),22,radio,38,understands,0
Spanish (European),23,radio,30,produces,0.2333
Spanish (European),23,radio,30,understands,0
Spanish (European),24,radio,55,produces,0.2364
Spanish (European),24,radio,55,understands,0
Spanish (European),25,radio,35,produces,0.2857
Spanish (European),25,radio,35,understands,0
Spanish (European),26,radio,49,produces,0.3878
Spanish (European),26,radio,49,understands,0
Spanish (European),27,radio,34,produces,0.5588
Spanish (European),27,radio,34,understands,0
Spanish (European),28,radio,38,produces,0.4737
Spanish (European),28,radio,38,understands,0
Spanish (European),29,radio,41,produces,0.6585
Spanish (European),29,radio,41,understands,0
Spanish (European),30,radio,41,produces,0.5366
Spanish (European),30,radio,41,understands,0
Spanish (Mexican),8,radio,40,produces,0
Spanish (Mexican),8,radio,40,understands,0.075
Spanish (Mexican),9,radio,64,produces,0
Spanish (Mexican),9,radio,64,understands,0.1875
Spanish (Mexican),10,radio,71,produces,0
Spanish (Mexican),10,radio,71,understands,0.1408
Spanish (Mexican),11,radio,67,produces,0
Spanish (Mexican),11,radio,67,understands,0.2985
Spanish (Mexican),12,radio,89,produces,0
Spanish (Mexican),12,radio,89,understands,0.236
Spanish (Mexican),13,radio,83,produces,0.0241
Spanish (Mexican),13,radio,83,understands,0.3373
Spanish (Mexican),14,radio,76,produces,0.0132
Spanish (Mexican),14,radio,76,understands,0.3684
Spanish (Mexican),15,radio,61,produces,0
Spanish (Mexican),15,radio,61,understands,0.4098
Spanish (Mexican),16,radio,152,produces,0.1118
Spanish (Mexican),16,radio,152,understands,0.3158
Spanish (Mexican),17,radio,124,produces,0.1532
Spanish (Mexican),17,radio,124,understands,0.3468
Spanish (Mexican),18,radio,163,produces,0.1227
Spanish (Mexican),18,radio,163,understands,0.2761
Spanish (Mexican),19,radio,100,produces,0.26
Spanish (Mexican),19,radio,100,understands,0
Spanish (Mexican),20,radio,107,produces,0.215
Spanish (Mexican),20,radio,107,understands,0
Spanish (Mexican),21,radio,84,produces,0.2738
Spanish (Mexican),21,radio,84,understands,0
Spanish (Mexican),22,radio,141,produces,0.2057
Spanish (Mexican),22,radio,141,understands,0
Spanish (Mexican),23,radio,91,produces,0.2418
Spanish (Mexican),23,radio,91,understands,0
Spanish (Mexican),24,radio,126,produces,0.381
Spanish (Mexican),24,radio,126,understands,0
Spanish (Mexican),25,radio,177,produces,0.2938
Spanish (Mexican),25,radio,177,understands,0
Spanish (Mexican),26,radio,83,produces,0.4819
Spanish (Mexican),26,radio,83,understands,0
Spanish (Mexican),27,radio,85,produces,0.6118
Spanish (Mexican),27,radio,85,understands,0
Spanish (Mexican),28,radio,89,produces,0.5506
Spanish (Mexican),28,radio,89,understands,0
Spanish (Mexican),29,radio,89,produces,0.5618
Spanish (Mexican),29,radio,89,understands,0
Spanish (Mexican),30,radio,308,produces,0.3474
Spanish (Mexican),30,radio,308,understands,0
Spanish (Peruvian),8,música/radio/cd,9,produces,0
Spanish (Peruvian),8,música/radio/cd,9,understands,0.4444
Spanish (Peruvian),9,música/radio/cd,12,produces,0
Spanish (Peruvian),9,música/radio/cd,12,understands,0.25
Spanish (Peruvian),10,música/radio/cd,7,produces,0
Spanish (Peruvian),10,música/radio/cd,7,understands,0.4286
Spanish (Peruvian),11,música/radio/cd,18,produces,0
Spanish (Peruvian),11,música/radio/cd,18,understands,0.5
Spanish (Peruvian),12,música/radio/cd,14,produces,0
Spanish (Peruvian),12,música/radio/cd,14,understands,0.3571
Spanish (Peruvian),13,música/radio/cd,9,produces,0
