language,age,words,n,measure,prop
Italian,7,oggi,5,produces,0
Italian,7,oggi,5,understands,0
Italian,8,oggi,34,produces,0
Italian,8,oggi,34,understands,0.0294
Italian,9,oggi,38,produces,0
Italian,9,oggi,38,understands,0
Italian,10,oggi,53,produces,0
Italian,10,oggi,53,understands,0
Italian,11,oggi,42,produces,0
Italian,11,oggi,42,understands,0.0238
Italian,12,oggi,69,produces,0
Italian,12,oggi,69,understands,0.0145
Italian,13,oggi,48,produces,0
Italian,13,oggi,48,understands,0.0208
Italian,14,oggi,40,produces,0
Italian,14,oggi,40,understands,0.05
Italian,15,oggi,68,produces,0.0147
Italian,15,oggi,68,understands,0.0588
Italian,16,oggi,56,produces,0
Italian,16,oggi,56,understands,0.0714
Italian,17,oggi,48,produces,0
Italian,17,oggi,48,understands,0.1042
Italian,18,oggi,75,produces,0.0133
Italian,18,oggi,75,understands,0.1067
Italian,19,oggi,58,produces,0
Italian,19,oggi,58,understands,0.0517
Italian,20,oggi,83,produces,0.012
Italian,20,oggi,83,understands,0.0602
Italian,21,oggi,67,produces,0.1045
Italian,21,oggi,67,understands,0.0896
Italian,22,oggi,77,produces,0.1429
Italian,22,oggi,77,understands,0.0519
Italian,23,oggi,70,produces,0.1143
Italian,23,oggi,70,understands,0.1143
Italian,24,oggi,85,produces,0.2353
Italian,24,oggi,85,understands,0.0588
Italian,25,oggi,39,produces,0.2564
Italian,25,oggi,39,understands,0
Italian,26,oggi,41,produces,0.4146
Italian,26,oggi,41,understands,0
Italian,27,oggi,43,produces,0.3953
Italian,27,oggi,43,understands,0
Italian,28,oggi,44,produces,0.4545
Italian,28,oggi,44,understands,0
Italian,29,oggi,37,produces,0.5676
Italian,29,oggi,37,understands,0
Italian,30,oggi,67,produces,0.6716
Italian,30,oggi,67,understands,0
Italian,31,oggi,19,produces,0.6316
Italian,31,oggi,19,understands,0
Italian,32,oggi,23,produces,0.6522
Italian,32,oggi,23,understands,0
Italian,33,oggi,16,produces,0.6875
Italian,33,oggi,16,understands,0
Italian,34,oggi,19,produces,0.8947
Italian,34,oggi,19,understands,0
Italian,35,oggi,15,produces,0.8
Italian,35,oggi,15,understands,0
Italian,36,oggi,21,produces,0.7619
Italian,36,oggi,21,understands,0
Japanese,8,きょう,6,produces,0
Japanese,8,きょう,6,understands,0
Japanese,9,きょう,10,produces,0
Japanese,9,きょう,10,understands,0
Japanese,10,きょう,8,produces,0
Japanese,10,きょう,8,understands,0
Japanese,11,きょう,87,produces,0
Japanese,11,きょう,87,understands,0
Japanese,12,きょう,118,produces,0
Japanese,12,きょう,118,understands,0
Japanese,13,きょう,23,produces,0
Japanese,13,きょう,23,understands,0.0435
Japanese,14,きょう,26,produces,0
Japanese,14,きょう,26,understands,0
Japanese,15,きょう,72,produces,0
Japanese,15,きょう,72,understands,0.0694
Japanese,16,"きょう, きょう（今日）",46,produces,0
Japanese,16,"きょう, きょう（今日）",46,understands,0
Japanese,17,"きょう, きょう（今日）",77,produces,0
Japanese,17,"きょう, きょう（今日）",77,understands,0.013
Japanese,18,"きょう, きょう（今日）",94,produces,0.0106
Japanese,18,"きょう, きょう（今日）",94,understands,0.0319
Japanese,19,きょう（今日）,35,produces,0
Japanese,19,きょう（今日）,35,understands,0
Japanese,20,きょう（今日）,59,produces,0
Japanese,20,きょう（今日）,59,understands,0
Japanese,21,きょう（今日）,62,produces,0.0161
Japanese,21,きょう（今日）,62,understands,0
Japanese,22,きょう（今日）,31,produces,0.0645
Japanese,22,きょう（今日）,31,understands,0
Japanese,23,きょう（今日）,67,produces,0.0299
Japanese,23,きょう（今日）,67,understands,0
Japanese,24,きょう（今日）,33,produces,0.1515
Japanese,24,きょう（今日）,33,understands,0
Japanese,25,きょう（今日）,34,produces,0.1471
Japanese,25,きょう（今日）,34,understands,0
Japanese,26,きょう（今日）,33,produces,0.303
Japanese,26,きょう（今日）,33,understands,0
Japanese,27,きょう（今日）,15,produces,0.1333
Japanese,27,きょう（今日）,15,understands,0
Japanese,28,きょう（今日）,18,produces,0.2222
Japanese,28,きょう（今日）,18,understands,0
Japanese,29,きょう（今日）,17,produces,0.2353
Japanese,29,きょう（今日）,17,understands,0
Japanese,30,きょう（今日）,18,produces,0.3333
Japanese,30,きょう（今日）,18,understands,0
Japanese,31,きょう（今日）,18,produces,0.6111
Japanese,31,きょう（今日）,18,understands,0
Japanese,32,きょう（今日）,13,produces,0.4615
Japanese,32,きょう（今日）,13,understands,0
Japanese,33,きょう（今日）,16,produces,0.6875
Japanese,33,きょう（今日）,16,understands,0
Japanese,34,きょう（今日）,13,produces,0.5385
Japanese,34,きょう（今日）,13,understands,0
Japanese,35,きょう（今日）,31,produces,0.6774
Japanese,35,きょう（今日）,31,understands,0
Japanese,36,きょう（今日）,18,produces,0.7222
Japanese,36,きょう（今日）,18,understands,0
Kigiriama,16,Rero,1,produces,0
Kigiriama,16,Rero,1,understands,0
Kigiriama,17,Rero,6,produces,0
Kigiriama,17,Rero,6,understands,0
Kigiriama,18,Rero,13,produces,0
Kigiriama,18,Rero,13,understands,0
Kigiriama,19,Rero,8,produces,0
Kigiriama,19,Rero,8,understands,0
Kigiriama,20,Rero,14,produces,0.0714
Kigiriama,20,Rero,14,understands,0
Kigiriama,21,Rero,6,produces,0
Kigiriama,21,Rero,6,understands,0
Kigiriama,22,Rero,9,produces,0
Kigiriama,22,Rero,9,understands,0
Kigiriama,23,Rero,4,produces,0
Kigiriama,23,Rero,4,understands,0
Kigiriama,24,Rero,7,produces,0
Kigiriama,24,Rero,7,understands,0
Kigiriama,25,Rero,3,produces,0
Kigiriama,25,Rero,3,understands,0
Kigiriama,26,Rero,6,produces,0
Kigiriama,26,Rero,6,understands,0
Kigiriama,27,Rero,4,produces,0.5
Kigiriama,27,Rero,4,understands,0
Kigiriama,28,Rero,1,produces,0
Kigiriama,28,Rero,1,understands,0
Kigiriama,29,Rero,5,produces,0
Kigiriama,29,Rero,5,understands,0
Kigiriama,30,Rero,1,produces,1
Kigiriama,30,Rero,1,understands,0
Kiswahili,23,Leo,2,produces,0
Kiswahili,23,Leo,2,understands,0
Kiswahili,24,Leo,12,produces,0.1667
Kiswahili,24,Leo,12,understands,0
Kiswahili,25,Leo,10,produces,0
Kiswahili,25,Leo,10,understands,0
Kiswahili,26,Leo,13,produces,0.1538
Kiswahili,26,Leo,13,understands,0
Kiswahili,27,Leo,8,produces,0.125
Kiswahili,27,Leo,8,understands,0
Kiswahili,28,Leo,6,produces,0
Kiswahili,28,Leo,6,understands,0
Kiswahili,29,Leo,6,produces,0.1667
Kiswahili,29,Leo,6,understands,0
Kiswahili,30,Leo,5,produces,0.2
Kiswahili,30,Leo,5,understands,0
Korean,18,오늘,88,produces,0.0227
Korean,18,오늘,88,understands,0
Korean,19,오늘,77,produces,0.013
Korean,19,오늘,77,understands,0
Korean,20,오늘,88,produces,0
Korean,20,오늘,88,understands,0
Korean,21,오늘,79,produces,0.0127
Korean,21,오늘,79,understands,0
Korean,22,오늘,87,produces,0.092
Korean,22,오늘,87,understands,0
Korean,23,오늘,87,produces,0.046
Korean,23,오늘,87,understands,0
Korean,24,오늘,107,produces,0.1215
Korean,24,오늘,107,understands,0
Korean,25,오늘,95,produces,0.1368
Korean,25,오늘,95,understands,0
Korean,26,오늘,91,produces,0.2308
Korean,26,오늘,91,understands,0
Korean,27,오늘,104,produces,0.2981
Korean,27,오늘,104,understands,0
Korean,28,오늘,89,produces,0.3933
Korean,28,오늘,89,understands,0
Korean,29,오늘,101,produces,0.3564
Korean,29,오늘,101,understands,0
Korean,30,오늘,81,produces,0.4568
Korean,30,오늘,81,understands,0
Korean,31,오늘,79,produces,0.49370000000000003
Korean,31,오늘,79,understands,0
Korean,32,오늘,70,produces,0.5571
Korean,32,오늘,70,understands,0
Korean,33,오늘,79,produces,0.5316
Korean,33,오늘,79,understands,0
Korean,34,오늘,79,produces,0.6962
Korean,34,오늘,79,understands,0
Korean,35,오늘,74,produces,0.6351
Korean,35,오늘,74,understands,0
Korean,36,오늘,75,produces,0.72
Korean,36,오늘,75,understands,0
Latvian,8,šodien,16,produces,0
Latvian,8,šodien,16,understands,0
Latvian,9,šodien,18,produces,0
Latvian,9,šodien,18,understands,0.0556
Latvian,10,šodien,26,produces,0
Latvian,10,šodien,26,understands,0.0769
Latvian,11,šodien,15,produces,0
Latvian,11,šodien,15,understands,0.1333
Latvian,12,šodien,16,produces,0
Latvian,12,šodien,16,understands,0.125
Latvian,13,šodien,22,produces,0
Latvian,13,šodien,22,understands,0.1364
Latvian,14,šodien,25,produces,0.04
Latvian,14,šodien,25,understands,0.16
Latvian,15,šodien,29,produces,0.0345
Latvian,15,šodien,29,understands,0.1379
Latvian,16,šodien,16,produces,0.0625
Latvian,16,šodien,16,understands,0.1875
Latvian,17,šodien,27,produces,0
Latvian,17,šodien,27,understands,0
Latvian,18,šodien,21,produces,0
Latvian,18,šodien,21,understands,0
Latvian,19,šodien,28,produces,0.0357
Latvian,19,šodien,28,understands,0
Latvian,20,šodien,34,produces,0.0882
Latvian,20,šodien,34,understands,0
Latvian,21,šodien,26,produces,0.1538
Latvian,21,šodien,26,understands,0
Latvian,22,šodien,32,produces,0.0938
Latvian,22,šodien,32,understands,0
Latvian,23,šodien,25,produces,0.12
Latvian,23,šodien,25,understands,0
Latvian,24,šodien,30,produces,0.3667
Latvian,24,šodien,30,understands,0
Latvian,25,šodien,29,produces,0.1379
Latvian,25,šodien,29,understands,0
Latvian,26,šodien,22,produces,0.3182
Latvian,26,šodien,22,understands,0
Latvian,27,šodien,18,produces,0.5
Latvian,27,šodien,18,understands,0
Latvian,28,šodien,23,produces,0.4348
Latvian,28,šodien,23,understands,0
Latvian,29,šodien,24,produces,0.5417
Latvian,29,šodien,24,understands,0
Latvian,30,šodien,26,produces,0.4231
Latvian,30,šodien,26,understands,0
Latvian,31,šodien,19,produces,0.6316
Latvian,31,šodien,19,understands,0
Latvian,32,šodien,25,produces,0.56
Latvian,32,šodien,25,understands,0
Latvian,33,šodien,31,produces,0.6774
Latvian,33,šodien,31,understands,0
Latvian,34,šodien,17,produces,0.8824
Latvian,34,šodien,17,understands,0
Latvian,35,šodien,21,produces,0.8571
Latvian,35,šodien,21,understands,0
Latvian,36,šodien,22,produces,0.7273
Latvian,36,šodien,22,understands,0
Mandarin (Beijing),16,今天,70,produces,0
Mandarin (Beijing),16,今天,70,understands,0
Mandarin (Beijing),17,今天,112,produces,0.0179
Mandarin (Beijing),17,今天,112,understands,0
Mandarin (Beijing),18,今天,121,produces,0.0579
Mandarin (Beijing),18,今天,121,understands,0
Mandarin (Beijing),19,今天,120,produces,0.125
Mandarin (Beijing),19,今天,120,understands,0
Mandarin (Beijing),20,今天,121,produces,0.1653
Mandarin (Beijing),20,今天,121,understands,0
Mandarin (Beijing),21,今天,119,produces,0.2185
Mandarin (Beijing),21,今天,119,understands,0
Mandarin (Beijing),22,今天,117,produces,0.2906
Mandarin (Beijing),22,今天,117,understands,0
Mandarin (Beijing),23,今天,120,produces,0.5417
Mandarin (Beijing),23,今天,120,understands,0
Mandarin (Beijing),24,今天,120,produces,0.5083
Mandarin (Beijing),24,今天,120,understands,0
Mandarin (Beijing),25,今天,113,produces,0.5575
Mandarin (Beijing),25,今天,113,understands,0
Mandarin (Beijing),26,今天,118,produces,0.5763
Mandarin (Beijing),26,今天,118,understands,0
Mandarin (Beijing),27,今天,114,produces,0.6754
