language,age,words,n,measure,prop
Japanese,8,パンツ,6,produces,0
Japanese,8,パンツ,6,understands,0
Japanese,9,パンツ,10,produces,0
Japanese,9,パンツ,10,understands,0
Japanese,10,パンツ,8,produces,0
Japanese,10,パンツ,8,understands,0
Japanese,11,パンツ,87,produces,0
Japanese,11,パンツ,87,understands,0.0115
Japanese,12,パンツ,118,produces,0
Japanese,12,パンツ,118,understands,0
Japanese,13,パンツ,23,produces,0
Japanese,13,パンツ,23,understands,0.0435
Japanese,14,パンツ,26,produces,0
Japanese,14,パンツ,26,understands,0.0769
Japanese,15,パンツ,72,produces,0
Japanese,15,パンツ,72,understands,0.1111
Japanese,16,パンツ,46,produces,0
Japanese,16,パンツ,46,understands,0.0217
Japanese,17,パンツ,77,produces,0.039
Japanese,17,パンツ,77,understands,0.1818
Japanese,18,パンツ,94,produces,0.0532
Japanese,18,パンツ,94,understands,0.1383
Japanese,19,パンツ,35,produces,0.1714
Japanese,19,パンツ,35,understands,0
Japanese,20,パンツ,59,produces,0.1525
Japanese,20,パンツ,59,understands,0
Japanese,21,パンツ,62,produces,0.2742
Japanese,21,パンツ,62,understands,0
Japanese,22,パンツ,31,produces,0.2903
Japanese,22,パンツ,31,understands,0
Japanese,23,パンツ,67,produces,0.4328
Japanese,23,パンツ,67,understands,0
Japanese,24,パンツ,33,produces,0.4545
Japanese,24,パンツ,33,understands,0
Japanese,25,パンツ,34,produces,0.4412
Japanese,25,パンツ,34,understands,0
Japanese,26,パンツ,33,produces,0.6364
Japanese,26,パンツ,33,understands,0
Japanese,27,パンツ,15,produces,0.6667
Japanese,27,パンツ,15,understands,0
Japanese,28,パンツ,18,produces,0.6111
Japanese,28,パンツ,18,understands,0
Japanese,29,パンツ,17,produces,0.6471
Japanese,29,パンツ,17,understands,0
Japanese,30,パンツ,18,produces,0.7778
Japanese,30,パンツ,18,understands,0
Japanese,31,パンツ,18,produces,0.8333
Japanese,31,パンツ,18,understands,0
Japanese,32,パンツ,13,produces,0.9231
Japanese,32,パンツ,13,understands,0
Japanese,33,パンツ,16,produces,0.875
Japanese,33,パンツ,16,understands,0
Japanese,34,パンツ,13,produces,0.8462
Japanese,34,パンツ,13,understands,0
Japanese,35,パンツ,31,produces,1
Japanese,35,パンツ,31,understands,0
Japanese,36,パンツ,18,produces,0.9444
Japanese,36,パンツ,18,understands,0
Kigiriama,8,Kipande/Suruale fuhi,5,produces,0.2
Kigiriama,8,Kipande/Suruale fuhi,5,understands,0.4
Kigiriama,9,Kipande/Suruale fuhi,22,produces,0
Kigiriama,9,Kipande/Suruale fuhi,22,understands,0.0909
Kigiriama,10,Kipande/Suruale fuhi,5,produces,0
Kigiriama,10,Kipande/Suruale fuhi,5,understands,0.2
Kigiriama,11,Kipande/Suruale fuhi,7,produces,0
Kigiriama,11,Kipande/Suruale fuhi,7,understands,0.2857
Kigiriama,12,Kipande/Suruale fuhi,30,produces,0
Kigiriama,12,Kipande/Suruale fuhi,30,understands,0.2667
Kigiriama,13,Kipande/Suruale fuhi,18,produces,0.0556
Kigiriama,13,Kipande/Suruale fuhi,18,understands,0.3889
Kigiriama,14,Kipande/Suruale fuhi,16,produces,0
Kigiriama,14,Kipande/Suruale fuhi,16,understands,0.0625
Kigiriama,15,Kipande/Suruale fuhi,16,produces,0.0625
Kigiriama,15,Kipande/Suruale fuhi,16,understands,0.125
Kigiriama,16,Kipande/Suruale fuhi,1,produces,0
Kigiriama,16,Kipande/Suruale fuhi,1,understands,0
Kigiriama,17,Kipande/Suruale fuhi,6,produces,0.1667
Kigiriama,17,Kipande/Suruale fuhi,6,understands,0
Kigiriama,18,Kipande/Suruale fuhi,13,produces,0.2308
Kigiriama,18,Kipande/Suruale fuhi,13,understands,0
Kigiriama,19,Kipande/Suruale fuhi,8,produces,0.25
Kigiriama,19,Kipande/Suruale fuhi,8,understands,0
Kigiriama,20,Kipande/Suruale fuhi,14,produces,0.2143
Kigiriama,20,Kipande/Suruale fuhi,14,understands,0
Kigiriama,21,Kipande/Suruale fuhi,6,produces,0.3333
Kigiriama,21,Kipande/Suruale fuhi,6,understands,0
Kigiriama,22,Kipande/Suruale fuhi,9,produces,0.2222
Kigiriama,22,Kipande/Suruale fuhi,9,understands,0
Kigiriama,23,Kipande/Suruale fuhi,4,produces,0
Kigiriama,23,Kipande/Suruale fuhi,4,understands,0
Kigiriama,24,Kipande/Suruale fuhi,7,produces,0.4286
Kigiriama,24,Kipande/Suruale fuhi,7,understands,0
Kigiriama,25,Kipande/Suruale fuhi,3,produces,0.6667
Kigiriama,25,Kipande/Suruale fuhi,3,understands,0
Kigiriama,26,Kipande/Suruale fuhi,6,produces,0.1667
Kigiriama,26,Kipande/Suruale fuhi,6,understands,0
Kigiriama,27,Kipande/Suruale fuhi,4,produces,0.5
Kigiriama,27,Kipande/Suruale fuhi,4,understands,0
Kigiriama,28,Kipande/Suruale fuhi,1,produces,0
Kigiriama,28,Kipande/Suruale fuhi,1,understands,0
Kigiriama,29,Kipande/Suruale fuhi,5,produces,0.4
Kigiriama,29,Kipande/Suruale fuhi,5,understands,0
Kigiriama,30,Kipande/Suruale fuhi,1,produces,0
Kigiriama,30,Kipande/Suruale fuhi,1,understands,0
Kiswahili,8,Kaptula/Kinyasa/ Kipande,1,produces,0
Kiswahili,8,Kaptula/Kinyasa/ Kipande,1,understands,0
Kiswahili,9,Kaptula/Kinyasa/ Kipande,5,produces,0
Kiswahili,9,Kaptula/Kinyasa/ Kipande,5,understands,0
Kiswahili,10,Kaptula/Kinyasa/ Kipande,5,produces,0
Kiswahili,10,Kaptula/Kinyasa/ Kipande,5,understands,0
Kiswahili,11,Kaptula/Kinyasa/ Kipande,9,produces,0
Kiswahili,11,Kaptula/Kinyasa/ Kipande,9,understands,0
Kiswahili,12,Kaptula/Kinyasa/ Kipande,6,produces,0
Kiswahili,12,Kaptula/Kinyasa/ Kipande,6,understands,0
Kiswahili,13,Kaptula/Kinyasa/ Kipande,6,produces,0
Kiswahili,13,Kaptula/Kinyasa/ Kipande,6,understands,0
Kiswahili,14,Kaptula/Kinyasa/ Kipande,4,produces,0
Kiswahili,14,Kaptula/Kinyasa/ Kipande,4,understands,0
Kiswahili,15,Kaptula/Kinyasa/ Kipande,5,produces,0
Kiswahili,15,Kaptula/Kinyasa/ Kipande,5,understands,0.6
Kiswahili,23,Kaptula/Kinyasa/Kipande,2,produces,0
Kiswahili,23,Kaptula/Kinyasa/Kipande,2,understands,0
Kiswahili,24,Kaptula/Kinyasa/Kipande,12,produces,0.0833
Kiswahili,24,Kaptula/Kinyasa/Kipande,12,understands,0
Kiswahili,25,Kaptula/Kinyasa/Kipande,10,produces,0
Kiswahili,25,Kaptula/Kinyasa/Kipande,10,understands,0
Kiswahili,26,Kaptula/Kinyasa/Kipande,13,produces,0.0769
Kiswahili,26,Kaptula/Kinyasa/Kipande,13,understands,0
Kiswahili,27,Kaptula/Kinyasa/Kipande,8,produces,0.125
Kiswahili,27,Kaptula/Kinyasa/Kipande,8,understands,0
Kiswahili,28,Kaptula/Kinyasa/Kipande,6,produces,0.1667
Kiswahili,28,Kaptula/Kinyasa/Kipande,6,understands,0
Kiswahili,29,Kaptula/Kinyasa/Kipande,6,produces,0
Kiswahili,29,Kaptula/Kinyasa/Kipande,6,understands,0
Kiswahili,30,Kaptula/Kinyasa/Kipande,5,produces,0.4
Kiswahili,30,Kaptula/Kinyasa/Kipande,5,understands,0
Latvian,8,šorti /īsbikses,16,produces,0
Latvian,8,šorti /īsbikses,16,understands,0
Latvian,9,šorti /īsbikses,18,produces,0
Latvian,9,šorti /īsbikses,18,understands,0
Latvian,10,šorti /īsbikses,26,produces,0
Latvian,10,šorti /īsbikses,26,understands,0.0385
Latvian,11,šorti /īsbikses,15,produces,0
Latvian,11,šorti /īsbikses,15,understands,0.0667
Latvian,12,šorti /īsbikses,16,produces,0.0625
Latvian,12,šorti /īsbikses,16,understands,0.125
Latvian,13,šorti /īsbikses,22,produces,0
Latvian,13,šorti /īsbikses,22,understands,0.2273
Latvian,14,šorti /īsbikses,25,produces,0.08
Latvian,14,šorti /īsbikses,25,understands,0.24
Latvian,15,šorti /īsbikses,29,produces,0.0345
Latvian,15,šorti /īsbikses,29,understands,0.2759
Latvian,16,šorti /īsbikses,16,produces,0.0625
Latvian,16,šorti /īsbikses,16,understands,0.25
Latvian,17,šorti/īsbikses,27,produces,0.037
Latvian,17,šorti/īsbikses,27,understands,0
Latvian,18,šorti/īsbikses,21,produces,0.0952
Latvian,18,šorti/īsbikses,21,understands,0
Latvian,19,šorti/īsbikses,28,produces,0.1429
Latvian,19,šorti/īsbikses,28,understands,0
Latvian,20,šorti/īsbikses,34,produces,0.1765
Latvian,20,šorti/īsbikses,34,understands,0
Latvian,21,šorti/īsbikses,26,produces,0.3077
Latvian,21,šorti/īsbikses,26,understands,0
Latvian,22,šorti/īsbikses,32,produces,0.1875
Latvian,22,šorti/īsbikses,32,understands,0
Latvian,23,šorti/īsbikses,25,produces,0.28
Latvian,23,šorti/īsbikses,25,understands,0
Latvian,24,šorti/īsbikses,30,produces,0.5333
Latvian,24,šorti/īsbikses,30,understands,0
Latvian,25,šorti/īsbikses,29,produces,0.3793
Latvian,25,šorti/īsbikses,29,understands,0
Latvian,26,šorti/īsbikses,22,produces,0.6364
Latvian,26,šorti/īsbikses,22,understands,0
Latvian,27,šorti/īsbikses,18,produces,0.5556
Latvian,27,šorti/īsbikses,18,understands,0
Latvian,28,šorti/īsbikses,23,produces,0.5652
Latvian,28,šorti/īsbikses,23,understands,0
Latvian,29,šorti/īsbikses,24,produces,0.75
Latvian,29,šorti/īsbikses,24,understands,0
Latvian,30,šorti/īsbikses,26,produces,0.6154
Latvian,30,šorti/īsbikses,26,understands,0
Latvian,31,šorti/īsbikses,19,produces,0.8421
Latvian,31,šorti/īsbikses,19,understands,0
Latvian,32,šorti/īsbikses,25,produces,0.64
Latvian,32,šorti/īsbikses,25,understands,0
Latvian,33,šorti/īsbikses,31,produces,0.7742
Latvian,33,šorti/īsbikses,31,understands,0
Latvian,34,šorti/īsbikses,17,produces,0.7647
Latvian,34,šorti/īsbikses,17,understands,0
Latvian,35,šorti/īsbikses,21,produces,0.9524
Latvian,35,šorti/īsbikses,21,understands,0
Latvian,36,šorti/īsbikses,22,produces,0.7727
Latvian,36,šorti/īsbikses,22,understands,0
Mandarin (Beijing),17,短裤,40,produces,0
Mandarin (Beijing),17,短裤,40,understands,0
Mandarin (Beijing),18,短裤,50,produces,0.02
Mandarin (Beijing),18,短裤,50,understands,0
Mandarin (Beijing),19,短裤,50,produces,0.04
Mandarin (Beijing),19,短裤,50,understands,0
Mandarin (Beijing),20,短裤,50,produces,0.02
Mandarin (Beijing),20,短裤,50,understands,0
Mandarin (Beijing),21,短裤,49,produces,0.1429
Mandarin (Beijing),21,短裤,49,understands,0
Mandarin (Beijing),22,短裤,46,produces,0.1087
Mandarin (Beijing),22,短裤,46,understands,0
Mandarin (Beijing),23,短裤,50,produces,0.34
Mandarin (Beijing),23,短裤,50,understands,0
Mandarin (Beijing),24,短裤,50,produces,0.24
Mandarin (Beijing),24,短裤,50,understands,0
Mandarin (Beijing),25,短裤,43,produces,0.2326
Mandarin (Beijing),25,短裤,43,understands,0
Mandarin (Beijing),26,短裤,47,produces,0.3191
Mandarin (Beijing),26,短裤,47,understands,0
Mandarin (Beijing),27,短裤,44,produces,0.4318
Mandarin (Beijing),27,短裤,44,understands,0
Mandarin (Beijing),28,短裤,44,produces,0.4318
Mandarin (Beijing),28,短裤,44,understands,0
Mandarin (Beijing),29,短裤,49,produces,0.6735
Mandarin (Beijing),29,短裤,49,understands,0
Mandarin (Beijing),30,短裤,40,produces,0.625
Mandarin (Beijing),30,短裤,40,understands,0
Mandarin (Taiwanese),8,短褲,86,produces,0
Mandarin (Taiwanese),8,短褲,86,understands,0.1047
Mandarin (Taiwanese),9,短褲,79,produces,0
Mandarin (Taiwanese),9,短褲,79,understands,0.1266
Mandarin (Taiwanese),10,短褲,78,produces,0
Mandarin (Taiwanese),10,短褲,78,understands,0.0256
Mandarin (Taiwanese),11,短褲,79,produces,0
Mandarin (Taiwanese),11,短褲,79,understands,0.0759
Mandarin (Taiwanese),12,短褲,80,produces,0
Mandarin (Taiwanese),12,短褲,80,understands,0.0375
Mandarin (Taiwanese),13,短褲,78,produces,0
Mandarin (Taiwanese),13,短褲,78,understands,0.0897
Mandarin (Taiwanese),14,短褲,81,produces,0.0123
Mandarin (Taiwanese),14,短褲,81,understands,0.0617
Mandarin (Taiwanese),15,短褲,106,produces,0.0189
Mandarin (Taiwanese),15,短褲,106,understands,0.1038
Mandarin (Taiwanese),16,短褲,170,produces,0.0059
Mandarin (Taiwanese),16,短褲,170,understands,0.0706
Mandarin (Taiwanese),17,短褲,87,produces,0.046
Mandarin (Taiwanese),17,短褲,87,understands,0
Mandarin (Taiwanese),18,短褲,84,produces,0.0357
Mandarin (Taiwanese),18,短褲,84,understands,0
Mandarin (Taiwanese),19,短褲,84,produces,0.0952
Mandarin (Taiwanese),19,短褲,84,understands,0
Mandarin (Taiwanese),20,短褲,84,produces,0.0595
Mandarin (Taiwanese),20,短褲,84,understands,0
Mandarin (Taiwanese),21,短褲,88,produces,0.0568
Mandarin (Taiwanese),21,短褲,88,understands,0
Mandarin (Taiwanese),22,短褲,96,produces,0.1042
Mandarin (Taiwanese),22,短褲,96,understands,0
Mandarin (Taiwanese),23,短褲,105,produces,0.1429
Mandarin (Taiwanese),23,短褲,105,understands,0
Mandarin (Taiwanese),24,短褲,124,produces,0.1855
Mandarin (Taiwanese),24,短褲,124,understands,0
Mandarin (Taiwanese),25,短褲,110,produces,0.2364
Mandarin (Taiwanese),25,短褲,110,understands,0
Mandarin (Taiwanese),26,短褲,87,produces,0.3218
Mandarin (Taiwanese),26,短褲,87,understands,0
Mandarin (Taiwanese),27,短褲,92,produces,0.2717
Mandarin (Taiwanese),27,短褲,92,understands,0
Mandarin (Taiwanese),28,短褲,100,produces,0.44
Mandarin (Taiwanese),28,短褲,100,understands,0
Mandarin (Taiwanese),29,短褲,88,produces,0.4205
Mandarin (Taiwanese),29,短褲,88,understands,0
Mandarin (Taiwanese),30,短褲,94,produces,0.5426
Mandarin (Taiwanese),30,短褲,94,understands,0
Mandarin (Taiwanese),31,短褲,88,produces,0.5568
Mandarin (Taiwanese),31,短褲,88,understands,0
Mandarin (Taiwanese),32,短褲,82,produces,0.5
Mandarin (Taiwanese),32,短褲,82,understands,0
Mandarin (Taiwanese),33,短褲,85,produces,0.6941
Mandarin (Taiwanese),33,短褲,85,understands,0
Mandarin (Taiwanese),34,短褲,77,produces,0.6623
Mandarin (Taiwanese),34,短褲,77,understands,0
Mandarin (Taiwanese),35,短褲,81,produces,0.716
Mandarin (Taiwanese),35,短褲,81,understands,0
Mandarin (Taiwanese),36,短褲,81,produces,0.6914
Mandarin (Taiwanese),36,短褲,81,understands,0
Norwegian,8,shorts,77,produces,0.026
Norwegian,8,shorts,77,understands,0.026
Norwegian,9,shorts,138,produces,0
Norwegian,9,shorts,138,understands,0
Norwegian,10,shorts,203,produces,0
Norwegian,10,shorts,203,understands,0.0049
Norwegian,11,shorts,241,produces,0.0041
Norwegian,11,shorts,241,understands,0.0041
Norwegian,12,shorts,221,produces,0
Norwegian,12,shorts,221,understands,0.0045
Norwegian,13,shorts,246,produces,0
Norwegian,13,shorts,246,understands,0.0285
Norwegian,14,shorts,269,produces,0
Norwegian,14,shorts,269,understands,0.0149
Norwegian,15,shorts,239,produces,0.0042
Norwegian,15,shorts,239,understands,0.0209
Norwegian,16,shorts,346,produces,0.0116
Norwegian,16,shorts,346,understands,0.0289
Norwegian,17,shorts,435,produces,0.0092
Norwegian,17,shorts,435,understands,0.0483
Norwegian,18,shorts,494,produces,0.0202
Norwegian,18,shorts,494,understands,0.0567
Norwegian,19,shorts,504,produces,0.0357
Norwegian,19,shorts,504,understands,0.0853
Norwegian,20,shorts,601,produces,0.0483
Norwegian,20,shorts,601,understands,0.0982
Norwegian,21,shorts,418,produces,0.0766
Norwegian,21,shorts,418,understands,0
Norwegian,22,shorts,596,produces,0.0738
Norwegian,22,shorts,596,understands,0
Norwegian,23,shorts,566,produces,0.1519
Norwegian,23,shorts,566,understands,0
Norwegian,24,shorts,538,produces,0.1729
Norwegian,24,shorts,538,understands,0
Norwegian,25,shorts,656,produces,0.2561
Norwegian,25,shorts,656,understands,0
Norwegian,26,shorts,644,produces,0.3742
Norwegian,26,shorts,644,understands,0
Norwegian,27,shorts,525,produces,0.4362
Norwegian,27,shorts,525,understands,0
Norwegian,28,shorts,544,produces,0.511
Norwegian,28,shorts,544,understands,0
Norwegian,29,shorts,536,produces,0.5672
Norwegian,29,shorts,536,understands,0
Norwegian,30,shorts,457,produces,0.6083
Norwegian,30,shorts,457,understands,0
Norwegian,31,shorts,479,produces,0.6743
Norwegian,31,shorts,479,understands,0
Norwegian,32,shorts,451,produces,0.7406
Norwegian,32,shorts,451,understands,0
Norwegian,33,shorts,430,produces,0.7558
Norwegian,33,shorts,430,understands,0
Norwegian,34,shorts,424,produces,0.7807
Norwegian,34,shorts,424,understands,0
Norwegian,35,shorts,422,produces,0.8199
Norwegian,35,shorts,422,understands,0
Norwegian,36,shorts,329,produces,0.8663
Norwegian,36,shorts,329,understands,0
Persian,8,شورت,7,produces,0
Persian,8,شورت,7,understands,0.1429
Persian,9,شورت,21,produces,0
Persian,9,شورت,21,understands,0.1429
Persian,10,شورت,16,produces,0.0625
Persian,10,شورت,16,understands,0.375
Persian,11,شورت,13,produces,0
Persian,11,شورت,13,understands,0.0769
Persian,12,شورت,11,produces,0
Persian,12,شورت,11,understands,0.1818
Persian,13,شورت,14,produces,0
Persian,13,شورت,14,understands,0.3571
Persian,14,شورت,15,produces,0
Persian,14,شورت,15,understands,0.5333
Persian,15,شورت,12,produces,0
Persian,15,شورت,12,understands,0.5
Persian,16,شورت,4,produces,0
Persian,16,شورت,4,understands,0.5
Persian,17,شورت,1,produces,0
Persian,17,شورت,1,understands,0
Persian,18,شورت,5,produces,0.4
Persian,18,شورت,5,understands,0
Persian,20,شورت,3,produces,0.3333
Persian,20,شورت,3,understands,0
Persian,21,شورت,1,produces,1
Persian,21,شورت,1,understands,0
Persian,22,شورت,1,produces,1
Persian,22,شورت,1,understands,0
Persian,23,شورت,3,produces,1
Persian,23,شورت,3,understands,0
Persian,24,شورت,10,produces,0.5
Persian,24,شورت,10,understands,0
Persian,25,شورت,3,produces,1
Persian,25,شورت,3,understands,0
Persian,26,شورت,6,produces,1
Persian,26,شورت,6,understands,0
Persian,27,شورت,5,produces,0.6
Persian,27,شورت,5,understands,0
Persian,28,شورت,9,produces,0.7778
Persian,28,شورت,9,understands,0
Persian,29,شورت,1,produces,1
Persian,29,شورت,1,understands,0
Persian,30,شورت,2,produces,1
Persian,30,شورت,2,understands,0
Portuguese (European),16,Calções,144,produces,0
Portuguese (European),16,Calções,144,understands,0
Portuguese (European),17,Calções,158,produces,0.0063
Portuguese (European),17,Calções,158,understands,0
Portuguese (European),18,Calções,203,produces,0.0246
Portuguese (European),18,Calções,203,understands,0
Portuguese (European),19,Calções,196,produces,0.0306
Portuguese (European),19,Calções,196,understands,0
Portuguese (European),20,Calções,218,produces,0.0505
Portuguese (European),20,Calções,218,understands,0
Portuguese (European),21,Calções,208,produces,0.0529
Portuguese (European),21,Calções,208,understands,0
Portuguese (European),22,Calções,213,produces,0.1033
Portuguese (European),22,Calções,213,understands,0
Portuguese (European),23,Calções,199,produces,0.1256
Portuguese (European),23,Calções,199,understands,0
Portuguese (European),24,Calções,215,produces,0.2372
Portuguese (European),24,Calções,215,understands,0
Portuguese (European),25,Calções,213,produces,0.3662
Portuguese (European),25,Calções,213,understands,0
Portuguese (European),26,Calções,218,produces,0.3761
Portuguese (European),26,Calções,218,understands,0
Portuguese (European),27,Calções,238,produces,0.4706
Portuguese (European),27,Calções,238,understands,0
Portuguese (European),28,Calções,219,produces,0.4795
Portuguese (European),28,Calções,219,understands,0
Portuguese (European),29,Calções,207,produces,0.5266
Portuguese (European),29,Calções,207,understands,0
Portuguese (European),30,Calções,163,produces,0.5337
Portuguese (European),30,Calções,163,understands,0
Russian,18,шорты,42,produces,0
Russian,18,шорты,42,understands,0
Russian,19,шорты,41,produces,0
Russian,19,шорты,41,understands,0
Russian,20,шорты,45,produces,0.1111
Russian,20,шорты,45,understands,0
Russian,21,шорты,43,produces,0.186
Russian,21,шорты,43,understands,0
Russian,22,шорты,51,produces,0.1373
Russian,22,шорты,51,understands,0
Russian,23,шорты,56,produces,0.1964
Russian,23,шорты,56,understands,0
Russian,24,шорты,61,produces,0.2951
Russian,24,шорты,61,understands,0
Russian,25,шорты,66,produces,0.303
Russian,25,шорты,66,understands,0
Russian,26,шорты,52,produces,0.2885
Russian,26,шорты,52,understands,0
Russian,27,шорты,60,produces,0.4
Russian,27,шорты,60,understands,0
Russian,28,шорты,60,produces,0.5667
Russian,28,шорты,60,understands,0
Russian,29,шорты,58,produces,0.6552
Russian,29,шорты,58,understands,0
Russian,30,шорты,77,produces,0.5714
Russian,30,шорты,77,understands,0
Russian,31,шорты,61,produces,0.6557
Russian,31,шорты,61,understands,0
Russian,32,шорты,55,produces,0.6727
Russian,32,шорты,55,understands,0
Russian,33,шорты,55,produces,0.6909
Russian,33,шорты,55,understands,0
Russian,34,шорты,58,produces,0.7069
Russian,34,шорты,58,understands,0
Russian,35,шорты,47,produces,0.6596
Russian,35,шорты,47,understands,0
Russian,36,шорты,49,produces,0.7959
Russian,36,шорты,49,understands,0
Spanish (Argentinian),16,shorts,47,produces,0.0213
Spanish (Argentinian),16,shorts,47,understands,0
Spanish (Argentinian),17,shorts,49,produces,0.0204
Spanish (Argentinian),17,shorts,49,understands,0
Spanish (Argentinian),18,shorts,62,produces,0.0323
Spanish (Argentinian),18,shorts,62,understands,0
Spanish (Argentinian),19,shorts,44,produces,0.0227
Spanish (Argentinian),19,shorts,44,understands,0
Spanish (Argentinian),20,shorts,46,produces,0.0652
Spanish (Argentinian),20,shorts,46,understands,0
Spanish (Argentinian),21,shorts,41,produces,0.0244
Spanish (Argentinian),21,shorts,41,understands,0
Spanish (Argentinian),22,shorts,57,produces,0.1404
Spanish (Argentinian),22,shorts,57,understands,0
Spanish (Argentinian),23,shorts,49,produces,0.1224
Spanish (Argentinian),23,shorts,49,understands,0
Spanish (Argentinian),24,shorts,75,produces,0.0533
Spanish (Argentinian),24,shorts,75,understands,0
Spanish (Argentinian),25,shorts,43,produces,0.1395
Spanish (Argentinian),25,shorts,43,understands,0
Spanish (Argentinian),26,shorts,45,produces,0.1111
Spanish (Argentinian),26,shorts,45,understands,0
Spanish (Argentinian),27,shorts,44,produces,0.1136
Spanish (Argentinian),27,shorts,44,understands,0
Spanish (Argentinian),28,shorts,42,produces,0.2381
Spanish (Argentinian),28,shorts,42,understands,0
Spanish (Argentinian),29,shorts,65,produces,0.2154
Spanish (Argentinian),29,shorts,65,understands,0
Spanish (Argentinian),30,shorts,69,produces,0.3478
Spanish (Argentinian),30,shorts,69,understands,0
Spanish (Argentinian),31,shorts,2,produces,0
