language,sex,age,words,n,measure,prop
American Sign Language,All,9,PERSON,4,produces,0
American Sign Language,All,9,PERSON,4,understands,0
American Sign Language,All,10,PERSON,2,produces,0
American Sign Language,All,10,PERSON,2,understands,0
American Sign Language,All,11,PERSON,3,produces,0
American Sign Language,All,11,PERSON,3,understands,0
American Sign Language,All,12,PERSON,2,produces,0
American Sign Language,All,12,PERSON,2,understands,0.5
American Sign Language,All,13,PERSON,1,produces,0
American Sign Language,All,13,PERSON,1,understands,0
American Sign Language,All,15,PERSON,2,produces,0
American Sign Language,All,15,PERSON,2,understands,0
American Sign Language,All,16,PERSON,2,produces,0
American Sign Language,All,16,PERSON,2,understands,0
American Sign Language,All,17,PERSON,3,produces,0
American Sign Language,All,17,PERSON,3,understands,0.3333
American Sign Language,All,18,PERSON,7,produces,0.1429
American Sign Language,All,18,PERSON,7,understands,0.4286
American Sign Language,All,19,PERSON,6,produces,0
American Sign Language,All,19,PERSON,6,understands,0.1429
American Sign Language,All,20,PERSON,3,produces,0
American Sign Language,All,20,PERSON,3,understands,0
American Sign Language,All,21,PERSON,3,produces,0
American Sign Language,All,21,PERSON,3,understands,0.25
American Sign Language,All,22,PERSON,10,produces,0.0833
American Sign Language,All,22,PERSON,10,understands,0.0833
American Sign Language,All,23,PERSON,3,produces,0
American Sign Language,All,23,PERSON,3,understands,0.25
American Sign Language,All,24,PERSON,9,produces,0.1667
American Sign Language,All,24,PERSON,9,understands,0.25
American Sign Language,All,25,PERSON,11,produces,0.0909
American Sign Language,All,25,PERSON,11,understands,0.3636
American Sign Language,All,26,PERSON,4,produces,0.25
American Sign Language,All,26,PERSON,4,understands,0.25
American Sign Language,All,27,PERSON,6,produces,0
American Sign Language,All,27,PERSON,6,understands,0.2857
American Sign Language,All,28,PERSON,4,produces,0
American Sign Language,All,28,PERSON,4,understands,0.6
American Sign Language,All,29,PERSON,6,produces,0.3333
American Sign Language,All,29,PERSON,6,understands,0.5
American Sign Language,All,30,PERSON,5,produces,0.3333
American Sign Language,All,30,PERSON,5,understands,0.3333
American Sign Language,All,31,PERSON,7,produces,0.125
American Sign Language,All,31,PERSON,7,understands,0.125
American Sign Language,All,32,PERSON,9,produces,0
American Sign Language,All,32,PERSON,9,understands,0.2727
American Sign Language,All,33,PERSON,4,produces,0.5
American Sign Language,All,33,PERSON,4,understands,0.5
American Sign Language,All,34,PERSON,6,produces,0
American Sign Language,All,34,PERSON,6,understands,0.2857
American Sign Language,All,35,PERSON,4,produces,0.5
American Sign Language,All,35,PERSON,4,understands,1
American Sign Language,All,36,PERSON,3,produces,0
American Sign Language,All,36,PERSON,3,understands,0.6667
Arabic (Saudi),All,8,شخص,19,produces,0
Arabic (Saudi),All,8,شخص,19,understands,0
Arabic (Saudi),All,9,شخص,18,produces,0
Arabic (Saudi),All,9,شخص,18,understands,0
Arabic (Saudi),All,10,شخص,25,produces,0.08
Arabic (Saudi),All,10,شخص,25,understands,0
Arabic (Saudi),All,11,شخص,21,produces,0
Arabic (Saudi),All,11,شخص,21,understands,0
Arabic (Saudi),All,12,شخص,19,produces,0
Arabic (Saudi),All,12,شخص,19,understands,0
Arabic (Saudi),All,13,شخص,36,produces,0
Arabic (Saudi),All,13,شخص,36,understands,0
Arabic (Saudi),All,14,شخص,20,produces,0
Arabic (Saudi),All,14,شخص,20,understands,0
Arabic (Saudi),All,15,شخص,19,produces,0
Arabic (Saudi),All,15,شخص,19,understands,0
Arabic (Saudi),All,16,شخص,18,produces,0
Arabic (Saudi),All,16,شخص,18,understands,0
British Sign Language,All,8,person,4,produces,0
British Sign Language,All,8,person,4,understands,0
British Sign Language,All,9,person,4,produces,0
British Sign Language,All,9,person,4,understands,0
British Sign Language,All,10,person,4,produces,0
British Sign Language,All,10,person,4,understands,0
British Sign Language,All,11,person,6,produces,0
British Sign Language,All,11,person,6,understands,0
British Sign Language,All,12,person,6,produces,0
British Sign Language,All,12,person,6,understands,0
British Sign Language,All,13,person,6,produces,0
British Sign Language,All,13,person,6,understands,0
British Sign Language,All,14,person,7,produces,0
British Sign Language,All,14,person,7,understands,0
British Sign Language,All,15,person,6,produces,0
British Sign Language,All,15,person,6,understands,0
British Sign Language,All,16,person,7,produces,0
British Sign Language,All,16,person,7,understands,0
British Sign Language,All,17,person,7,produces,0
British Sign Language,All,17,person,7,understands,0
British Sign Language,All,18,person,8,produces,0
British Sign Language,All,18,person,8,understands,0
British Sign Language,All,19,person,8,produces,0
British Sign Language,All,19,person,8,understands,0
British Sign Language,All,20,person,11,produces,0
British Sign Language,All,20,person,11,understands,0
British Sign Language,All,21,person,5,produces,0
British Sign Language,All,21,person,5,understands,0
British Sign Language,All,22,person,6,produces,0
British Sign Language,All,22,person,6,understands,0
British Sign Language,All,23,person,7,produces,0
British Sign Language,All,23,person,7,understands,0
British Sign Language,All,24,person,5,produces,0
British Sign Language,All,24,person,5,understands,0
British Sign Language,All,25,person,7,produces,0
British Sign Language,All,25,person,7,understands,0
British Sign Language,All,26,person,6,produces,0.1667
British Sign Language,All,26,person,6,understands,0.1667
British Sign Language,All,27,person,6,produces,0
British Sign Language,All,27,person,6,understands,0
British Sign Language,All,28,person,3,produces,0
British Sign Language,All,28,person,3,understands,0
British Sign Language,All,29,person,7,produces,0
British Sign Language,All,29,person,7,understands,0
British Sign Language,All,30,person,5,produces,0
British Sign Language,All,30,person,5,understands,0.2
British Sign Language,All,31,person,2,produces,0
British Sign Language,All,31,person,2,understands,0
British Sign Language,All,32,person,6,produces,0
British Sign Language,All,32,person,6,understands,0
British Sign Language,All,33,person,5,produces,0
British Sign Language,All,33,person,5,understands,0
British Sign Language,All,34,person,2,produces,0
British Sign Language,All,34,person,2,understands,0
British Sign Language,All,35,person,2,produces,0
British Sign Language,All,35,person,2,understands,0
British Sign Language,All,36,person,3,produces,0.3333
British Sign Language,All,36,person,3,understands,0.6667
Cantonese,All,16,人,46,produces,0
Cantonese,All,16,人,46,understands,0
Cantonese,All,17,人,61,produces,0.0492
Cantonese,All,17,人,61,understands,0
Cantonese,All,18,人,68,produces,0.1176
Cantonese,All,18,人,68,understands,0
Cantonese,All,19,人,66,produces,0.0455
Cantonese,All,19,人,66,understands,0
Cantonese,All,20,人,140,produces,0.15
Cantonese,All,20,人,140,understands,0
Cantonese,All,21,人,120,produces,0.2167
Cantonese,All,21,人,120,understands,0
Cantonese,All,22,人,68,produces,0.2794
Cantonese,All,22,人,68,understands,0
Cantonese,All,23,人,74,produces,0.3514
Cantonese,All,23,人,74,understands,0
Cantonese,All,24,人,68,produces,0.4559
Cantonese,All,24,人,68,understands,0
Cantonese,All,25,人,65,produces,0.5231
Cantonese,All,25,人,65,understands,0
Cantonese,All,26,人,68,produces,0.5882
Cantonese,All,26,人,68,understands,0
Cantonese,All,27,人,62,produces,0.6935
Cantonese,All,27,人,62,understands,0
Cantonese,All,28,人,66,produces,0.697
Cantonese,All,28,人,66,understands,0
Cantonese,All,29,人,72,produces,0.8472
Cantonese,All,29,人,72,understands,0
Cantonese,All,30,人,164,produces,0.7805
Cantonese,All,30,人,164,understands,0
Catalan,All,8,persona,39,produces,0
Catalan,All,8,persona,39,understands,0
Catalan,All,9,persona,46,produces,0
Catalan,All,9,persona,46,understands,0
Catalan,All,10,persona,43,produces,0
Catalan,All,10,persona,43,understands,0.0233
Catalan,All,11,persona,43,produces,0
Catalan,All,11,persona,43,understands,0.0233
Catalan,All,12,persona,59,produces,0
Catalan,All,12,persona,59,understands,0.0339
Catalan,All,13,persona,44,produces,0
Catalan,All,13,persona,44,understands,0.0455
Catalan,All,14,persona,60,produces,0
Catalan,All,14,persona,60,understands,0.0333
Catalan,All,15,persona,70,produces,0
Catalan,All,15,persona,70,understands,0.0714
Catalan,All,16,persona,73,produces,0
Catalan,All,16,persona,73,understands,0.0548
Catalan,All,17,persona,110,produces,0
Catalan,All,17,persona,110,understands,0.0545
Catalan,All,18,persona,102,produces,0
Catalan,All,18,persona,102,understands,0.0784
Catalan,All,19,persona,45,produces,0
Catalan,All,19,persona,45,understands,0
Catalan,All,20,persona,56,produces,0
Catalan,All,20,persona,56,understands,0
Catalan,All,21,persona,58,produces,0.0345
Catalan,All,21,persona,58,understands,0
Catalan,All,22,persona,50,produces,0.02
Catalan,All,22,persona,50,understands,0
Catalan,All,23,persona,66,produces,0.0606
Catalan,All,23,persona,66,understands,0
Catalan,All,24,persona,79,produces,0.1266
Catalan,All,24,persona,79,understands,0
Catalan,All,25,persona,60,produces,0.2
Catalan,All,25,persona,60,understands,0
Catalan,All,26,persona,65,produces,0.0462
Catalan,All,26,persona,65,understands,0
Catalan,All,27,persona,63,produces,0.2063
Catalan,All,27,persona,63,understands,0
Catalan,All,28,persona,81,produces,0.2222
Catalan,All,28,persona,81,understands,0
Catalan,All,29,persona,50,produces,0.3
Catalan,All,29,persona,50,understands,0
Catalan,All,30,persona,75,produces,0.4533
Catalan,All,30,persona,75,understands,0
Danish,All,8,person,174,produces,0
Danish,All,8,person,174,understands,0
Danish,All,9,person,196,produces,0
Danish,All,9,person,196,understands,0.0051
Danish,All,10,person,182,produces,0
Danish,All,10,person,182,understands,0
Danish,All,11,person,200,produces,0
Danish,All,11,person,200,understands,0.005
Danish,All,12,person,188,produces,0
Danish,All,12,person,188,understands,0
Danish,All,13,person,216,produces,0
Danish,All,13,person,216,understands,0.0139
Danish,All,14,person,178,produces,0
Danish,All,14,person,178,understands,0.0056
Danish,All,15,person,203,produces,0
Danish,All,15,person,203,understands,0.0049
Danish,All,16,person,359,produces,0.0056
Danish,All,16,person,359,understands,0.0084
Danish,All,17,person,346,produces,0
Danish,All,17,person,346,understands,0.0116
Danish,All,18,person,358,produces,0.0056
Danish,All,18,person,358,understands,0.0251
Danish,All,19,person,361,produces,0
Danish,All,19,person,361,understands,0.0111
Danish,All,20,person,358,produces,0.0028
Danish,All,20,person,358,understands,0.0223
Danish,All,21,person,236,produces,0.0042
Danish,All,21,person,236,understands,0
Danish,All,22,person,235,produces,0.0085
Danish,All,22,person,235,understands,0
Danish,All,23,person,190,produces,0.0105
Danish,All,23,person,190,understands,0
Danish,All,24,person,216,produces,0.0324
Danish,All,24,person,216,understands,0
Danish,All,25,person,138,produces,0.0362
Danish,All,25,person,138,understands,0
Danish,All,26,person,206,produces,0.068
Danish,All,26,person,206,understands,0
Danish,All,27,person,176,produces,0.0398
Danish,All,27,person,176,understands,0
Danish,All,28,person,190,produces,0.0316
Danish,All,28,person,190,understands,0
Danish,All,29,person,182,produces,0.0604
Danish,All,29,person,182,understands,0
Danish,All,30,person,173,produces,0.0925
Danish,All,30,person,173,understands,0
Danish,All,31,person,175,produces,0.1029
Danish,All,31,person,175,understands,0
Danish,All,32,person,143,produces,0.1748
Danish,All,32,person,143,understands,0
Danish,All,33,person,151,produces,0.1788
Danish,All,33,person,151,understands,0
Danish,All,34,person,143,produces,0.1748
Danish,All,34,person,143,understands,0
Danish,All,35,person,113,produces,0.2389
Danish,All,35,person,113,understands,0
Danish,All,36,person,126,produces,0.2302
Danish,All,36,person,126,understands,0
Dutch,All,16,eenpersoon,4,produces,0
Dutch,All,16,eenpersoon,4,understands,0
Dutch,All,17,eenpersoon,49,produces,0
Dutch,All,17,eenpersoon,49,understands,0
Dutch,All,18,eenpersoon,68,produces,0.0294
Dutch,All,18,eenpersoon,68,understands,0
Dutch,All,19,eenpersoon,7,produces,0
Dutch,All,19,eenpersoon,7,understands,0
Dutch,All,20,eenpersoon,7,produces,0.2857
Dutch,All,20,eenpersoon,7,understands,0
Dutch,All,21,eenpersoon,7,produces,0
Dutch,All,21,eenpersoon,7,understands,0
Dutch,All,22,eenpersoon,7,produces,0.1429
Dutch,All,22,eenpersoon,7,understands,0
Dutch,All,23,eenpersoon,51,produces,0.1176
Dutch,All,23,eenpersoon,51,understands,0
Dutch,All,24,eenpersoon,31,produces,0.0968
Dutch,All,24,eenpersoon,31,understands,0
Dutch,All,25,eenpersoon,6,produces,0.3333
Dutch,All,25,eenpersoon,6,understands,0
Dutch,All,26,eenpersoon,6,produces,0
Dutch,All,26,eenpersoon,6,understands,0
Dutch,All,27,eenpersoon,5,produces,0.4
Dutch,All,27,eenpersoon,5,understands,0
Dutch,All,28,eenpersoon,6,produces,0.3333
Dutch,All,28,eenpersoon,6,understands,0
Dutch,All,29,eenpersoon,23,produces,0.3043
Dutch,All,29,eenpersoon,23,understands,0
Dutch,All,30,eenpersoon,24,produces,0.5
Dutch,All,30,eenpersoon,24,understands,0
Dutch,All,31,eenpersoon,2,produces,0.5
Dutch,All,31,eenpersoon,2,understands,0
English (American),All,8,person,255,produces,0.0039
English (American),All,8,person,255,understands,0.0431
English (American),All,9,person,299,produces,0.0067
English (American),All,9,person,299,understands,0.0301
English (American),All,10,person,279,produces,0.0072
English (American),All,10,person,279,understands,0.0538
English (American),All,11,person,360,produces,0.0083
English (American),All,11,person,360,understands,0.0556
English (American),All,12,person,615,produces,0.0098
English (American),All,12,person,615,understands,0.0634
English (American),All,13,person,1039,produces,0.0029
English (American),All,13,person,1039,understands,0.0452
English (American),All,14,person,455,produces,0.0044
English (American),All,14,person,455,understands,0.0593
English (American),All,15,person,245,produces,0.0163
English (American),All,15,person,245,understands,0.1061
English (American),All,16,person,1750,produces,0.0057
English (American),All,16,person,1750,understands,0.0491
English (American),All,17,person,840,produces,0.019
English (American),All,17,person,840,understands,0.0643
English (American),All,18,person,1047,produces,0.0181
English (American),All,18,person,1047,understands,0.0669
English (American),All,19,person,579,produces,0.0294
English (American),All,19,person,579,understands,0
English (American),All,20,person,546,produces,0.0366
English (American),All,20,person,546,understands,0
English (American),All,21,person,377,produces,0.0477
English (American),All,21,person,377,understands,0
English (American),All,22,person,456,produces,0.0526
English (American),All,22,person,456,understands,0
English (American),All,23,person,470,produces,0.0872
English (American),All,23,person,470,understands,0
English (American),All,24,person,985,produces,0.1076
English (American),All,24,person,985,understands,0
English (American),All,25,person,757,produces,0.1295
English (American),All,25,person,757,understands,0
English (American),All,26,person,435,produces,0.177
English (American),All,26,person,435,understands,0
English (American),All,27,person,361,produces,0.2105
English (American),All,27,person,361,understands,0
English (American),All,28,person,954,produces,0.2778
English (American),All,28,person,954,understands,0
English (American),All,29,person,390,produces,0.3
English (American),All,29,person,390,understands,0
English (American),All,30,person,785,produces,0.321
English (American),All,30,person,785,understands,0
English (Australian),All,12,person,71,produces,0
English (Australian),All,12,person,71,understands,0
English (Australian),All,13,person,64,produces,0
English (Australian),All,13,person,64,understands,0
English (Australian),All,14,person,111,produces,0
English (Australian),All,14,person,111,understands,0
English (Australian),All,15,person,69,produces,0.0145
English (Australian),All,15,person,69,understands,0
English (Australian),All,16,person,60,produces,0
English (Australian),All,16,person,60,understands,0
English (Australian),All,17,person,104,produces,0.0192
English (Australian),All,17,person,104,understands,0
English (Australian),All,18,person,109,produces,0.0092
English (Australian),All,18,person,109,understands,0
English (Australian),All,19,person,124,produces,0.0323
English (Australian),All,19,person,124,understands,0
English (Australian),All,20,person,78,produces,0.0641
English (Australian),All,20,person,78,understands,0
English (Australian),All,21,person,68,produces,0
English (Australian),All,21,person,68,understands,0
English (Australian),All,22,person,73,produces,0.0274
English (Australian),All,22,person,73,understands,0
English (Australian),All,23,person,71,produces,0.1127
English (Australian),All,23,person,71,understands,0
English (Australian),All,24,person,76,produces,0.1316
English (Australian),All,24,person,76,understands,0
English (Australian),All,25,person,85,produces,0.1294
English (Australian),All,25,person,85,understands,0
English (Australian),All,26,person,77,produces,0.1688
English (Australian),All,26,person,77,understands,0
English (Australian),All,27,person,72,produces,0.2639
English (Australian),All,27,person,72,understands,0
English (Australian),All,28,person,67,produces,0.194
English (Australian),All,28,person,67,understands,0
English (Australian),All,29,person,65,produces,0.3692
English (Australian),All,29,person,65,understands,0
English (Australian),All,30,person,53,produces,0.4528
English (Australian),All,30,person,53,understands,0
English (British),All,12,person,27,produces,0
English (British),All,12,person,27,understands,0.037
English (British),All,13,person,7,produces,0
English (British),All,13,person,7,understands,0
English (British),All,14,person,64,produces,0
English (British),All,14,person,64,understands,0.0312
English (British),All,15,person,88,produces,0
English (British),All,15,person,88,understands,0.0227
English (British),All,16,person,118,produces,0.0085
English (British),All,16,person,118,understands,0.0847
English (British),All,17,person,197,produces,0.0051
English (British),All,17,person,197,understands,0.0761
English (British),All,18,person,118,produces,0
English (British),All,18,person,118,understands,0.0678
English (British),All,19,person,109,produces,0.0367
English (British),All,19,person,109,understands,0.211
English (British),All,20,person,146,produces,0.0479
English (British),All,20,person,146,understands,0.2123
English (British),All,21,person,82,produces,0.0854
English (British),All,21,person,82,understands,0.2439
English (British),All,22,person,296,produces,0.1486
English (British),All,22,person,296,understands,0.0236
English (British),All,23,person,2973,produces,0.1043
English (British),All,23,person,2973,understands,0.0124
English (British),All,24,person,6498,produces,0.1228
English (British),All,24,person,6498,understands,0.0052
English (British),All,25,person,843,produces,0.1637
English (British),All,25,person,843,understands,0.0237
English (British),All,26,person,282,produces,0.1312
English (British),All,26,person,282,understands,0
English (British),All,27,person,149,produces,0.2483
English (British),All,27,person,149,understands,0
English (British),All,28,person,93,produces,0.2581
English (British),All,28,person,93,understands,0
English (British),All,29,person,90,produces,0.3333
English (British),All,29,person,90,understands,0
English (British),All,30,person,49,produces,0.4286
English (British),All,30,person,49,understands,0
English (British),All,31,person,48,produces,0.4167
English (British),All,31,person,48,understands,0
English (British),All,32,person,27,produces,0.4815
English (British),All,32,person,27,understands,0
English (British),All,33,person,15,produces,0.4
English (British),All,33,person,15,understands,0
English (British),All,34,person,10,produces,0.2
English (British),All,34,person,10,understands,0
English (British),All,35,person,10,produces,0.4
English (British),All,35,person,10,understands,0
English (Irish),All,17,person,2,produces,0
English (Irish),All,17,person,2,understands,0
English (Irish),All,18,person,1,produces,0
English (Irish),All,18,person,1,understands,0
English (Irish),All,19,person,2,produces,0.5
English (Irish),All,19,person,2,understands,0
English (Irish),All,20,person,1,produces,0
English (Irish),All,20,person,1,understands,0
English (Irish),All,21,person,3,produces,0
English (Irish),All,21,person,3,understands,0
English (Irish),All,22,person,4,produces,0
English (Irish),All,22,person,4,understands,0
English (Irish),All,23,person,4,produces,0
English (Irish),All,23,person,4,understands,0
English (Irish),All,24,person,4,produces,0.25
English (Irish),All,24,person,4,understands,0
English (Irish),All,25,person,6,produces,0
English (Irish),All,25,person,6,understands,0
English (Irish),All,26,person,10,produces,0.1
English (Irish),All,26,person,10,understands,0
English (Irish),All,27,person,5,produces,0
English (Irish),All,27,person,5,understands,0
English (Irish),All,28,person,7,produces,0.1429
English (Irish),All,28,person,7,understands,0
English (Irish),All,29,person,4,produces,0
English (Irish),All,29,person,4,understands,0
English (Irish),All,30,person,9,produces,0.1111
English (Irish),All,30,person,9,understands,0
English (Irish),All,31,person,8,produces,0.125
English (Irish),All,31,person,8,understands,0
English (Irish),All,32,person,4,produces,0.25
English (Irish),All,32,person,4,understands,0
English (Irish),All,33,person,5,produces,0.4
English (Irish),All,33,person,5,understands,0
English (Irish),All,34,person,4,produces,0
English (Irish),All,34,person,4,understands,0
English (Irish),All,35,person,11,produces,0.1818
English (Irish),All,35,person,11,understands,0
English (Irish),All,36,person,5,produces,0
English (Irish),All,36,person,5,understands,0
Estonian,All,16,inimene,36,produces,0.0278
Estonian,All,16,inimene,36,understands,0
Estonian,All,17,inimene,89,produces,0.0225
Estonian,All,17,inimene,89,understands,0
Estonian,All,18,inimene,103,produces,0.0485
Estonian,All,18,inimene,103,understands,0
Estonian,All,19,inimene,85,produces,0.0118
Estonian,All,19,inimene,85,understands,0
Estonian,All,20,inimene,60,produces,0
Estonian,All,20,inimene,60,understands,0
Estonian,All,21,inimene,66,produces,0.0303
Estonian,All,21,inimene,66,understands,0
Estonian,All,22,inimene,76,produces,0.0526
Estonian,All,22,inimene,76,understands,0
Estonian,All,23,inimene,95,produces,0.0842
Estonian,All,23,inimene,95,understands,0
Estonian,All,24,inimene,116,produces,0.1466
Estonian,All,24,inimene,116,understands,0
Estonian,All,25,inimene,82,produces,0.1951
Estonian,All,25,inimene,82,understands,0
Estonian,All,26,inimene,84,produces,0.1905
Estonian,All,26,inimene,84,understands,0
Estonian,All,27,inimene,80,produces,0.2125
Estonian,All,27,inimene,80,understands,0
Estonian,All,28,inimene,92,produces,0.2826
Estonian,All,28,inimene,92,understands,0
Estonian,All,29,inimene,100,produces,0.36
Estonian,All,29,inimene,100,understands,0
Estonian,All,30,inimene,71,produces,0.3521
Estonian,All,30,inimene,71,understands,0
Finnish,All,12,ihminen  ,35,produces,0
Finnish,All,12,ihminen  ,35,understands,0
Finnish,All,15,ihminen  ,35,produces,0
Finnish,All,15,ihminen  ,35,understands,0
Finnish,All,18,ihminen,35,produces,0
Finnish,All,18,ihminen,35,understands,0
Finnish,All,24,ihminen,35,produces,0.1714
Finnish,All,24,ihminen,35,understands,0
French (French),All,8,personne,54,produces,0
French (French),All,8,personne,54,understands,0
French (French),All,9,personne,11,produces,0
French (French),All,9,personne,11,understands,0
French (French),All,10,personne,13,produces,0
French (French),All,10,personne,13,understands,0
French (French),All,11,personne,42,produces,0
French (French),All,11,personne,42,understands,0.0238
French (French),All,12,personne,64,produces,0.0156
French (French),All,12,personne,64,understands,0.0156
French (French),All,13,personne,116,produces,0
French (French),All,13,personne,116,understands,0.0517
French (French),All,14,personne,40,produces,0
French (French),All,14,personne,40,understands,0.025
French (French),All,15,personne,26,produces,0
French (French),All,15,personne,26,understands,0.0385
French (French),All,16,personne,98,produces,0.0204
French (French),All,16,personne,98,understands,0
French (French),All,17,personne,52,produces,0
French (French),All,17,personne,52,understands,0
French (French),All,18,personne,54,produces,0.0926
French (French),All,18,personne,54,understands,0
French (French),All,19,personne,42,produces,0.0476
French (French),All,19,personne,42,understands,0
French (French),All,20,personne,81,produces,0.0741
French (French),All,20,personne,81,understands,0
French (French),All,21,personne,102,produces,0.0686
French (French),All,21,personne,102,understands,0
French (French),All,22,personne,103,produces,0.1553
French (French),All,22,personne,103,understands,0
French (French),All,23,personne,118,produces,0.0678
French (French),All,23,personne,118,understands,0
French (French),All,24,personne,173,produces,0.1734
French (French),All,24,personne,173,understands,0
French (French),All,25,personne,87,produces,0.1954
French (French),All,25,personne,87,understands,0
French (French),All,26,personne,64,produces,0.1875
French (French),All,26,personne,64,understands,0
French (French),All,27,personne,54,produces,0.2593
French (French),All,27,personne,54,understands,0
French (French),All,28,personne,76,produces,0.3158
French (French),All,28,personne,76,understands,0
French (French),All,29,personne,67,produces,0.3731
French (French),All,29,personne,67,understands,0
French (French),All,30,personne,68,produces,0.3382
French (French),All,30,personne,68,understands,0
French (Quebecois),All,16,personne,47,produces,0
French (Quebecois),All,16,personne,47,understands,0
French (Quebecois),All,17,personne,62,produces,0
French (Quebecois),All,17,personne,62,understands,0
French (Quebecois),All,18,personne,99,produces,0.0303
French (Quebecois),All,18,personne,99,understands,0
French (Quebecois),All,19,personne,91,produces,0.044
French (Quebecois),All,19,personne,91,understands,0
French (Quebecois),All,20,personne,196,produces,0.0153
French (Quebecois),All,20,personne,196,understands,0
French (Quebecois),All,21,personne,109,produces,0.055
French (Quebecois),All,21,personne,109,understands,0
French (Quebecois),All,22,personne,86,produces,0.1047
French (Quebecois),All,22,personne,86,understands,0
French (Quebecois),All,23,personne,86,produces,0.1163
French (Quebecois),All,23,personne,86,understands,0
French (Quebecois),All,24,personne,132,produces,0.1591
French (Quebecois),All,24,personne,132,understands,0
French (Quebecois),All,25,personne,87,produces,0.2299
French (Quebecois),All,25,personne,87,understands,0
French (Quebecois),All,26,personne,95,produces,0.1895
French (Quebecois),All,26,personne,95,understands,0
French (Quebecois),All,27,personne,74,produces,0.3649
French (Quebecois),All,27,personne,74,understands,0
French (Quebecois),All,28,personne,61,produces,0.3115
French (Quebecois),All,28,personne,61,understands,0
French (Quebecois),All,29,personne,70,produces,0.4714
French (Quebecois),All,29,personne,70,understands,0
French (Quebecois),All,30,personne,100,produces,0.38
French (Quebecois),All,30,personne,100,understands,0
Hebrew,All,11,איש,1,produces,0
Hebrew,All,11,איש,1,understands,0
Hebrew,All,12,איש,4,produces,0
Hebrew,All,12,איש,4,understands,0
Hebrew,All,13,איש,4,produces,0
Hebrew,All,13,איש,4,understands,0.25
Hebrew,All,14,איש,1,produces,0
Hebrew,All,14,איש,1,understands,0
Hebrew,All,15,איש,2,produces,0
Hebrew,All,15,איש,2,understands,0
Hebrew,All,16,איש,6,produces,0.1667
Hebrew,All,16,איש,6,understands,0.1667
Hebrew,All,17,איש,3,produces,0.3333
Hebrew,All,17,איש,3,understands,0.6667
Hebrew,All,19,איש,4,produces,0
Hebrew,All,19,איש,4,understands,0.25
Hebrew,All,20,איש,9,produces,0.2222
Hebrew,All,20,איש,9,understands,0.4444
Hebrew,All,21,איש,4,produces,0.5
Hebrew,All,21,איש,4,understands,0.5
Hebrew,All,22,איש,3,produces,0
Hebrew,All,22,איש,3,understands,0.3333
Hebrew,All,23,איש,7,produces,0.2857
Hebrew,All,23,איש,7,understands,0.7143
Hebrew,All,24,איש,11,produces,0.5455
Hebrew,All,24,איש,11,understands,0.7273
Hebrew,All,25,איש,2,produces,0.5
Hebrew,All,25,איש,2,understands,0.5
Hungarian,All,16,ember,21,produces,0.0476
Hungarian,All,16,ember,21,understands,0
Hungarian,All,17,ember,18,produces,0.1111
Hungarian,All,17,ember,18,understands,0
Hungarian,All,18,ember,18,produces,0.0556
Hungarian,All,18,ember,18,understands,0
Hungarian,All,19,ember,26,produces,0.2308
Hungarian,All,19,ember,26,understands,0
Hungarian,All,20,ember,18,produces,0.0556
Hungarian,All,20,ember,18,understands,0
Hungarian,All,21,ember,36,produces,0.1389
Hungarian,All,21,ember,36,understands,0
Hungarian,All,22,ember,27,produces,0.0741
Hungarian,All,22,ember,27,understands,0
Hungarian,All,23,ember,18,produces,0.2222
Hungarian,All,23,ember,18,understands,0
Hungarian,All,24,ember,38,produces,0.2105
Hungarian,All,24,ember,38,understands,0
Hungarian,All,25,ember,43,produces,0.3023
Hungarian,All,25,ember,43,understands,0
Hungarian,All,26,ember,23,produces,0.3913
Hungarian,All,26,ember,23,understands,0
Hungarian,All,27,ember,26,produces,0.3846
Hungarian,All,27,ember,26,understands,0
Hungarian,All,28,ember,30,produces,0.3
Hungarian,All,28,ember,30,understands,0
Hungarian,All,29,ember,12,produces,0.5833
Hungarian,All,29,ember,12,understands,0
Hungarian,All,30,ember,18,produces,0.5
Hungarian,All,30,ember,18,understands,0
Irish,All,17,duine,2,produces,0
Irish,All,17,duine,2,understands,0
Irish,All,18,duine,1,produces,1
Irish,All,18,duine,1,understands,0
Irish,All,19,duine,2,produces,0.5
Irish,All,19,duine,2,understands,0
Irish,All,20,duine,1,produces,0
Irish,All,20,duine,1,understands,0
Irish,All,21,duine,3,produces,0
Irish,All,21,duine,3,understands,0
Irish,All,22,duine,4,produces,0
Irish,All,22,duine,4,understands,0
Irish,All,23,duine,4,produces,0.25
Irish,All,23,duine,4,understands,0
Irish,All,24,duine,4,produces,0.5
Irish,All,24,duine,4,understands,0
Irish,All,25,duine,6,produces,0.1667
Irish,All,25,duine,6,understands,0
Irish,All,26,duine,10,produces,0.2
Irish,All,26,duine,10,understands,0
Irish,All,27,duine,5,produces,0.4
Irish,All,27,duine,5,understands,0
Irish,All,28,duine,7,produces,0
Irish,All,28,duine,7,understands,0
Irish,All,29,duine,4,produces,0.5
Irish,All,29,duine,4,understands,0
Irish,All,30,duine,9,produces,0.4444
Irish,All,30,duine,9,understands,0
Irish,All,31,duine,8,produces,0.375
Irish,All,31,duine,8,understands,0
Irish,All,32,duine,4,produces,0.5
Irish,All,32,duine,4,understands,0
Irish,All,33,duine,5,produces,0.6
Irish,All,33,duine,5,understands,0
Irish,All,34,duine,4,produces,0.25
Irish,All,34,duine,4,understands,0
