language,age,words,n,measure,prop
Italian,18,piscina,31,produces,0.0323
Italian,18,piscina,31,understands,0
Italian,19,piscina,39,produces,0
Italian,19,piscina,39,understands,0
Italian,20,piscina,64,produces,0.0312
Italian,20,piscina,64,understands,0
Italian,21,piscina,55,produces,0.0727
Italian,21,piscina,55,understands,0
Italian,22,piscina,55,produces,0.2727
Italian,22,piscina,55,understands,0
Italian,23,piscina,53,produces,0.1887
Italian,23,piscina,53,understands,0
Italian,24,piscina,71,produces,0.338
Italian,24,piscina,71,understands,0
Italian,25,piscina,39,produces,0.3333
Italian,25,piscina,39,understands,0
Italian,26,piscina,41,produces,0.5122
Italian,26,piscina,41,understands,0
Italian,27,piscina,43,produces,0.6744
Italian,27,piscina,43,understands,0
Italian,28,piscina,44,produces,0.6136
Italian,28,piscina,44,understands,0
Italian,29,piscina,37,produces,0.7568
Italian,29,piscina,37,understands,0
Italian,30,piscina,67,produces,0.7612
Italian,30,piscina,67,understands,0
Italian,31,piscina,19,produces,0.8421
Italian,31,piscina,19,understands,0
Italian,32,piscina,23,produces,0.8261
Italian,32,piscina,23,understands,0
Italian,33,piscina,16,produces,0.75
Italian,33,piscina,16,understands,0
Italian,34,piscina,19,produces,0.8947
Italian,34,piscina,19,understands,0
Italian,35,piscina,15,produces,0.8667
Italian,35,piscina,15,understands,0
Italian,36,piscina,21,produces,0.8095
Italian,36,piscina,21,understands,0
Japanese,8,プール,6,produces,0
Japanese,8,プール,6,understands,0
Japanese,9,プール,10,produces,0
Japanese,9,プール,10,understands,0
Japanese,10,プール,8,produces,0
Japanese,10,プール,8,understands,0
Japanese,11,プール,87,produces,0
Japanese,11,プール,87,understands,0.046
Japanese,12,プール,118,produces,0
Japanese,12,プール,118,understands,0.0085
Japanese,13,プール,23,produces,0
Japanese,13,プール,23,understands,0
Japanese,14,プール,26,produces,0
Japanese,14,プール,26,understands,0.0769
Japanese,15,プール,72,produces,0.0139
Japanese,15,プール,72,understands,0.0833
Japanese,16,プール,46,produces,0
Japanese,16,プール,46,understands,0.0217
Japanese,17,プール,77,produces,0.013
Japanese,17,プール,77,understands,0.0779
Japanese,18,プール,94,produces,0.0319
Japanese,18,プール,94,understands,0.0638
Japanese,19,プール,35,produces,0.0286
Japanese,19,プール,35,understands,0
Japanese,20,プール,59,produces,0.0678
Japanese,20,プール,59,understands,0
Japanese,21,プール,62,produces,0.1129
Japanese,21,プール,62,understands,0
Japanese,22,プール,31,produces,0.129
Japanese,22,プール,31,understands,0
Japanese,23,プール,67,produces,0.2537
Japanese,23,プール,67,understands,0
Japanese,24,プール,33,produces,0.3333
Japanese,24,プール,33,understands,0
Japanese,25,プール,34,produces,0.4706
Japanese,25,プール,34,understands,0
Japanese,26,プール,33,produces,0.5455
Japanese,26,プール,33,understands,0
Japanese,27,プール,15,produces,0.4
Japanese,27,プール,15,understands,0
Japanese,28,プール,18,produces,0.3333
Japanese,28,プール,18,understands,0
Japanese,29,プール,17,produces,0.6471
Japanese,29,プール,17,understands,0
Japanese,30,プール,18,produces,0.7222
Japanese,30,プール,18,understands,0
Japanese,31,プール,18,produces,0.5556
Japanese,31,プール,18,understands,0
Japanese,32,プール,13,produces,0.9231
Japanese,32,プール,13,understands,0
Japanese,33,プール,16,produces,0.875
Japanese,33,プール,16,understands,0
Japanese,34,プール,13,produces,0.7692
Japanese,34,プール,13,understands,0
Japanese,35,プール,31,produces,0.871
Japanese,35,プール,31,understands,0
Japanese,36,プール,18,produces,0.9444
Japanese,36,プール,18,understands,0
Korean,18,수영장,88,produces,0.0114
Korean,18,수영장,88,understands,0
Korean,19,수영장,77,produces,0.013
Korean,19,수영장,77,understands,0
Korean,20,수영장,88,produces,0
Korean,20,수영장,88,understands,0
Korean,21,수영장,79,produces,0.0127
Korean,21,수영장,79,understands,0
Korean,22,수영장,87,produces,0.1149
Korean,22,수영장,87,understands,0
Korean,23,수영장,87,produces,0.0575
Korean,23,수영장,87,understands,0
Korean,24,수영장,107,produces,0.1495
Korean,24,수영장,107,understands,0
Korean,25,수영장,95,produces,0.1474
Korean,25,수영장,95,understands,0
Korean,26,수영장,91,produces,0.2198
Korean,26,수영장,91,understands,0
Korean,27,수영장,104,produces,0.2981
Korean,27,수영장,104,understands,0
Korean,28,수영장,89,produces,0.3708
Korean,28,수영장,89,understands,0
Korean,29,수영장,101,produces,0.3663
Korean,29,수영장,101,understands,0
Korean,30,수영장,81,produces,0.3951
Korean,30,수영장,81,understands,0
Korean,31,수영장,79,produces,0.4684
Korean,31,수영장,79,understands,0
Korean,32,수영장,70,produces,0.4714
Korean,32,수영장,70,understands,0
Korean,33,수영장,79,produces,0.443
Korean,33,수영장,79,understands,0
Korean,34,수영장,79,produces,0.5823
Korean,34,수영장,79,understands,0
Korean,35,수영장,74,produces,0.6757
Korean,35,수영장,74,understands,0
Korean,36,수영장,75,produces,0.6933
Korean,36,수영장,75,understands,0
Latvian,8,baseins,16,produces,0
Latvian,8,baseins,16,understands,0.0625
Latvian,9,baseins,18,produces,0
Latvian,9,baseins,18,understands,0.1111
Latvian,10,baseins,26,produces,0
Latvian,10,baseins,26,understands,0.0385
Latvian,11,baseins,15,produces,0
Latvian,11,baseins,15,understands,0.2
Latvian,12,baseins,16,produces,0
Latvian,12,baseins,16,understands,0.125
Latvian,13,baseins,22,produces,0
Latvian,13,baseins,22,understands,0.1364
Latvian,14,baseins,25,produces,0.04
Latvian,14,baseins,25,understands,0.04
Latvian,15,baseins,29,produces,0
Latvian,15,baseins,29,understands,0.1379
Latvian,16,baseins,16,produces,0.0625
Latvian,16,baseins,16,understands,0.1875
Latvian,17,baseins,27,produces,0
Latvian,17,baseins,27,understands,0
Latvian,18,baseins,21,produces,0.0476
Latvian,18,baseins,21,understands,0
Latvian,19,baseins,28,produces,0.1071
Latvian,19,baseins,28,understands,0
Latvian,20,baseins,34,produces,0.1176
Latvian,20,baseins,34,understands,0
Latvian,21,baseins,26,produces,0.1154
Latvian,21,baseins,26,understands,0
Latvian,22,baseins,32,produces,0.1562
Latvian,22,baseins,32,understands,0
Latvian,23,baseins,25,produces,0.16
Latvian,23,baseins,25,understands,0
Latvian,24,baseins,30,produces,0.3333
Latvian,24,baseins,30,understands,0
Latvian,25,baseins,29,produces,0.2759
Latvian,25,baseins,29,understands,0
Latvian,26,baseins,22,produces,0.4545
Latvian,26,baseins,22,understands,0
Latvian,27,baseins,18,produces,0.3889
Latvian,27,baseins,18,understands,0
Latvian,28,baseins,23,produces,0.2609
Latvian,28,baseins,23,understands,0
Latvian,29,baseins,24,produces,0.5417
Latvian,29,baseins,24,understands,0
Latvian,30,baseins,26,produces,0.3077
Latvian,30,baseins,26,understands,0
Latvian,31,baseins,19,produces,0.4211
Latvian,31,baseins,19,understands,0
Latvian,32,baseins,25,produces,0.52
Latvian,32,baseins,25,understands,0
Latvian,33,baseins,31,produces,0.6129
Latvian,33,baseins,31,understands,0
Latvian,34,baseins,17,produces,0.6471
Latvian,34,baseins,17,understands,0
Latvian,35,baseins,21,produces,0.619
Latvian,35,baseins,21,understands,0
Latvian,36,baseins,22,produces,0.6818
Latvian,36,baseins,22,understands,0
Mandarin (Beijing),16,游泳池,70,produces,0
Mandarin (Beijing),16,游泳池,70,understands,0
Mandarin (Beijing),17,游泳池,112,produces,0
Mandarin (Beijing),17,游泳池,112,understands,0
Mandarin (Beijing),18,游泳池,121,produces,0.0165
Mandarin (Beijing),18,游泳池,121,understands,0
Mandarin (Beijing),19,游泳池,120,produces,0.0667
Mandarin (Beijing),19,游泳池,120,understands,0
Mandarin (Beijing),20,游泳池,121,produces,0.0661
Mandarin (Beijing),20,游泳池,121,understands,0
Mandarin (Beijing),21,游泳池,119,produces,0.0756
Mandarin (Beijing),21,游泳池,119,understands,0
Mandarin (Beijing),22,游泳池,117,produces,0.0769
Mandarin (Beijing),22,游泳池,117,understands,0
Mandarin (Beijing),23,游泳池,120,produces,0.2333
Mandarin (Beijing),23,游泳池,120,understands,0
Mandarin (Beijing),24,游泳池,120,produces,0.275
Mandarin (Beijing),24,游泳池,120,understands,0
Mandarin (Beijing),25,游泳池,113,produces,0.3274
Mandarin (Beijing),25,游泳池,113,understands,0
Mandarin (Beijing),26,游泳池,118,produces,0.3051
Mandarin (Beijing),26,游泳池,118,understands,0
Mandarin (Beijing),27,游泳池,114,produces,0.3596
Mandarin (Beijing),27,游泳池,114,understands,0
Mandarin (Beijing),28,游泳池,114,produces,0.4474
Mandarin (Beijing),28,游泳池,114,understands,0
Mandarin (Beijing),29,游泳池,119,produces,0.5378
Mandarin (Beijing),29,游泳池,119,understands,0
Mandarin (Beijing),30,游泳池,110,produces,0.6455
